Stage,Algorithm,Attack_Type,KL_Contribution
First_95,KU_batch,Benign,-16.504512992389607
First_95,KU_batch,Portmap,5.791290137725682
First_95,KU_batch,NetBIOS,0.503837798176161
First_95,KU_batch,LDAP,-2.5868516671458783
First_95,KU_batch,MSSQL,55.97484906330973
First_95,KU_batch,UDP,12.209671090101342
First_95,KU_batch,UDPLag,
First_95,KU_batch,Syn,-2.6571776908437745
First_95,KU_single,Benign,-0.13375427517457117
First_95,KU_single,Portmap,12.806230293297657
First_95,KU_single,NetBIOS,2.6401920790075906
First_95,KU_single,LDAP,-1.3031772308961354
First_95,KU_single,MSSQL,5.7846149775749796
First_95,KU_single,UDP,4.22276721311737
First_95,KU_single,UDPLag,-0.0071920518112945225
First_95,KU_single,Syn,-5.343348539798662
First_95,Predictproba_batch,Benign,-16.292180468686347
First_95,Predictproba_batch,Portmap,3.366054801054795
First_95,Predictproba_batch,NetBIOS,0.7164287524897726
First_95,Predictproba_batch,LDAP,-2.6323710307216475
First_95,Predictproba_batch,MSSQL,59.11454219375542
First_95,Predictproba_batch,UDP,10.99797785299019
First_95,Predictproba_batch,UDPLag,0.1276876246036783
First_95,Predictproba_batch,Syn,-3.270105386241839
First_95,Predictproba_single,Benign,-0.8517256802776623
First_95,Predictproba_single,Portmap,12.253117160164312
First_95,Predictproba_single,NetBIOS,2.7316794661925803
First_95,Predictproba_single,LDAP,-0.9566166410867727
First_95,Predictproba_single,MSSQL,7.298702153839863
First_95,Predictproba_single,UDP,3.654959291955053
First_95,Predictproba_single,UDPLag,-0.0008228287594894179
First_95,Predictproba_single,Syn,-5.55395772119709
First_95,QBC,Benign,-7.9147242961092115
First_95,QBC,Portmap,21.126729098592996
First_95,QBC,NetBIOS,4.089730795326257
First_95,QBC,LDAP,-1.0210508977010804
First_95,QBC,MSSQL,6.614746740628225
First_95,QBC,UDP,8.108977190644865
First_95,QBC,UDPLag,
First_95,QBC,Syn,-5.476398740120194
First_99,KU_batch,Benign,-9.6868132066721
First_99,KU_batch,Portmap,8.847480694596095
First_99,KU_batch,NetBIOS,1.9553296182294713
First_99,KU_batch,LDAP,-2.2144015020295207
First_99,KU_batch,MSSQL,20.22479554343788
First_99,KU_batch,UDP,10.442694844321151
First_99,KU_batch,UDPLag,0.01013662770270411
First_99,KU_batch,Syn,-5.194055045412113
First_99,KU_single,Benign,1.9291597855896176
First_99,KU_single,Portmap,8.056766204275029
First_99,KU_single,NetBIOS,2.9388418623237453
First_99,KU_single,LDAP,-1.210872851005523
First_99,KU_single,MSSQL,3.9468758595121987
First_99,KU_single,UDP,1.7502087437111946
First_99,KU_single,UDPLag,0.011212738199065722
First_99,KU_single,Syn,-5.306772748928792
First_99,Predictproba_batch,Benign,-11.149119553221453
First_99,Predictproba_batch,Portmap,10.000651211941571
First_99,Predictproba_batch,NetBIOS,2.140057582844919
First_99,Predictproba_batch,LDAP,-2.1510456241133005
First_99,Predictproba_batch,MSSQL,24.143114635018787
First_99,Predictproba_batch,UDP,11.579833118706084
First_99,Predictproba_batch,UDPLag,0.08678100323243675
First_99,Predictproba_batch,Syn,-4.265987560133529
First_99,Predictproba_single,Benign,1.0465853936455862
First_99,Predictproba_single,Portmap,8.29715308102603
First_99,Predictproba_single,NetBIOS,2.77674542870499
First_99,Predictproba_single,LDAP,-1.023476931821206
First_99,Predictproba_single,MSSQL,3.798274189365013
First_99,Predictproba_single,UDP,1.4732184133765516
First_99,Predictproba_single,UDPLag,0.03711789480783836
First_99,Predictproba_single,Syn,-4.867566180508184
First_99,QBC,Benign,-5.308673325811863
First_99,QBC,Portmap,13.710644041974668
First_99,QBC,NetBIOS,3.3739947695088137
First_99,QBC,LDAP,-1.1494315938149922
First_99,QBC,MSSQL,2.2454866412768433
First_99,QBC,UDP,2.960373052008856
First_99,QBC,UDPLag,
First_99,QBC,Syn,-3.0142871130994147
Second_99,KU_batch,Benign,-5.3756894940589
Second_99,KU_batch,Portmap,9.656529118669281
Second_99,KU_batch,NetBIOS,1.778594029117887
Second_99,KU_batch,LDAP,-1.9243687611638987
Second_99,KU_batch,MSSQL,12.702916917030896
Second_99,KU_batch,UDP,7.251026228616613
Second_99,KU_batch,UDPLag,0.02210935867619144
Second_99,KU_batch,Syn,-5.450283319126292
Second_99,KU_single,Benign,3.171855242256173
Second_99,KU_single,Portmap,5.525025794545175
Second_99,KU_single,NetBIOS,2.531332178864414
Second_99,KU_single,LDAP,-1.204595456293665
Second_99,KU_single,MSSQL,2.7014138101063114
Second_99,KU_single,UDP,0.3937690865633174
Second_99,KU_single,UDPLag,0.0438512300783616
Second_99,KU_single,Syn,-3.993212037468351
Second_99,Predictproba_batch,Benign,-7.038994006823369
Second_99,Predictproba_batch,Portmap,9.206807620677559
Second_99,Predictproba_batch,NetBIOS,2.1056074632989237
Second_99,Predictproba_batch,LDAP,-1.912123942757414
Second_99,Predictproba_batch,MSSQL,14.160923751153659
Second_99,Predictproba_batch,UDP,9.103734487957148
Second_99,Predictproba_batch,UDPLag,0.02592198753465553
Second_99,Predictproba_batch,Syn,-5.454430240218223
Second_99,Predictproba_single,Benign,2.5834600929048372
Second_99,Predictproba_single,Portmap,5.898864352042272
Second_99,Predictproba_single,NetBIOS,2.0839078598820255
Second_99,Predictproba_single,LDAP,-1.0209125835943083
Second_99,Predictproba_single,MSSQL,2.4521680385927143
Second_99,Predictproba_single,UDP,0.1394903261660936
Second_99,Predictproba_single,UDPLag,0.0762034444673105
Second_99,Predictproba_single,Syn,-3.3028748346585903
Second_99,QBC,Benign,-4.593980470595055
Second_99,QBC,Portmap,10.123601326277697
Second_99,QBC,NetBIOS,2.660618245845675
Second_99,QBC,LDAP,-1.134844346905905
Second_99,QBC,MSSQL,1.1136427267094904
Second_99,QBC,UDP,1.3097962783464827
Second_99,QBC,UDPLag,
Second_99,QBC,Syn,0.5441180238537837
Third_99,KU_batch,Benign,-2.218443617697851
Third_99,KU_batch,Portmap,8.594150064850686
Third_99,KU_batch,NetBIOS,1.9109014003883358
Third_99,KU_batch,LDAP,-1.7991460048112895
Third_99,KU_batch,MSSQL,7.743163525734695
Third_99,KU_batch,UDP,4.570289454860714
Third_99,KU_batch,UDPLag,0.010822400178451264
Third_99,KU_batch,Syn,-5.475249117789181
Third_99,KU_single,Benign,3.8890193234375627
Third_99,KU_single,Portmap,4.01809355306093
Third_99,KU_single,NetBIOS,2.106236779870298
Third_99,KU_single,LDAP,-1.24435433057532
Third_99,KU_single,MSSQL,1.176492982204877
Third_99,KU_single,UDP,-0.43139010969550806
Third_99,KU_single,UDPLag,0.03236820635023452
Third_99,KU_single,Syn,-1.8626183778906766
Third_99,Predictproba_batch,Benign,-4.088194773523808
Third_99,Predictproba_batch,Portmap,8.312809959277065
Third_99,Predictproba_batch,NetBIOS,2.180361644030909
Third_99,Predictproba_batch,LDAP,-1.8954540787149148
Third_99,Predictproba_batch,MSSQL,9.61691044757872
Third_99,Predictproba_batch,UDP,5.7280497748141475
Third_99,Predictproba_batch,UDPLag,0.020204952045267108
Third_99,Predictproba_batch,Syn,-5.483897325280952
Third_99,Predictproba_single,Benign,4.0993890971732405
Third_99,Predictproba_single,Portmap,4.05331821149734
Third_99,Predictproba_single,NetBIOS,1.8646000989416014
Third_99,Predictproba_single,LDAP,-1.1036587232057404
Third_99,Predictproba_single,MSSQL,1.1253590205667867
Third_99,Predictproba_single,UDP,-0.6155488008838808
Third_99,Predictproba_single,UDPLag,0.0637370592298106
Third_99,Predictproba_single,Syn,-1.689179694111183
Third_99,QBC,Benign,-3.8372923840766573
Third_99,QBC,Portmap,7.226133235005463
Third_99,QBC,NetBIOS,2.062434404536291
Third_99,QBC,LDAP,-1.2613778670402567
Third_99,QBC,MSSQL,-0.18121324137708958
Third_99,QBC,UDP,0.0617537074986484
Third_99,QBC,UDPLag,
Third_99,QBC,Syn,4.908035411426737
