Stage,Algorithm,Attack_Type,KL_Contribution
First_95,KU_batch,Benign,-0.13897238313723453
First_95,KU_batch,Portmap,23.96614337892076
First_95,KU_batch,NetBIOS,2.737649391443248
First_95,KU_batch,LDAP,-2.32606524293134
First_95,KU_batch,MSSQL,-2.0368453385434013
First_95,KU_batch,UDP,16.156973991060084
First_95,KU_batch,UDPLag,
First_95,KU_batch,Syn,-3.447591028670297
First_95,KU_single,Benign,7.746984887905058
First_95,KU_single,Portmap,15.457535397827192
First_95,KU_single,NetBIOS,3.467385178896211
First_95,KU_single,LDAP,-2.9213867700085436
First_95,KU_single,MSSQL,-2.240701334555596
First_95,KU_single,UDP,0.8860442384111039
First_95,KU_single,UDPLag,
First_95,KU_single,Syn,-5.491363515890894
First_95,Predictproba_batch,Benign,1.9884875189002056
First_95,Predictproba_batch,Portmap,26.41698755753103
First_95,Predictproba_batch,NetBIOS,2.9826629841209167
First_95,Predictproba_batch,LDAP,-1.782328271616819
First_95,Predictproba_batch,MSSQL,-1.9491362127956757
First_95,Predictproba_batch,UDP,12.433592994264997
First_95,Predictproba_batch,UDPLag,
First_95,Predictproba_batch,Syn,-2.3904639191631403
First_95,Predictproba_single,Benign,7.405840123389999
First_95,Predictproba_single,Portmap,17.01929016433052
First_95,Predictproba_single,NetBIOS,3.874352109853959
First_95,Predictproba_single,LDAP,-2.8177479321596435
First_95,Predictproba_single,MSSQL,-2.1605347516024485
First_95,Predictproba_single,UDP,1.2407172833435602
First_95,Predictproba_single,UDPLag,
First_95,Predictproba_single,Syn,-5.205300892009938
First_95,QBC,Benign,-0.1176386448017488
First_95,QBC,Portmap,27.661398255262423
First_95,QBC,NetBIOS,4.408367618895437
First_95,QBC,LDAP,-2.7306597909865236
First_95,QBC,MSSQL,-2.432000342467465
First_95,QBC,UDP,3.9597495395186018
First_95,QBC,UDPLag,
First_95,QBC,Syn,-5.226223026578125
First_99,KU_batch,Benign,3.0484934058329833
First_99,KU_batch,Portmap,15.3801441640077
First_99,KU_batch,NetBIOS,2.033016760751827
First_99,KU_batch,LDAP,-3.1170482627594427
First_99,KU_batch,MSSQL,-2.6513659256050506
First_99,KU_batch,UDP,7.853979051539744
First_99,KU_batch,UDPLag,
First_99,KU_batch,Syn,-5.313677266342117
First_99,KU_single,Benign,6.321378918991813
First_99,KU_single,Portmap,9.609060534274354
First_99,KU_single,NetBIOS,2.2638114567229235
First_99,KU_single,LDAP,-2.991186256946494
First_99,KU_single,MSSQL,-1.465357903834666
First_99,KU_single,UDP,-0.46382416613450345
First_99,KU_single,UDPLag,
First_99,KU_single,Syn,-4.654088043346249
First_99,Predictproba_batch,Benign,3.09652574055464
First_99,Predictproba_batch,Portmap,18.94698099094487
First_99,Predictproba_batch,NetBIOS,2.8657440366501987
First_99,Predictproba_batch,LDAP,-3.0800235153112396
First_99,Predictproba_batch,MSSQL,-2.661562628854592
First_99,Predictproba_batch,UDP,8.119665921582591
First_99,Predictproba_batch,UDPLag,
First_99,Predictproba_batch,Syn,-4.068742271631594
First_99,Predictproba_single,Benign,6.068700778443881
First_99,Predictproba_single,Portmap,9.924247890834595
First_99,Predictproba_single,NetBIOS,2.78548330389828
First_99,Predictproba_single,LDAP,-2.975045504125338
First_99,Predictproba_single,MSSQL,-1.4433620303949393
First_99,Predictproba_single,UDP,-0.36744225703219957
First_99,Predictproba_single,UDPLag,
First_99,Predictproba_single,Syn,-4.795015741139201
First_99,QBC,Benign,-0.75961202613636
First_99,QBC,Portmap,15.801794502837192
First_99,QBC,NetBIOS,3.1864296510956893
First_99,QBC,LDAP,-3.079160284130035
First_99,QBC,MSSQL,-1.7644303552315068
First_99,QBC,UDP,1.2285469842389436
First_99,QBC,UDPLag,-0.008301995546083664
First_99,QBC,Syn,-4.016071664336691
Second_99,KU_batch,Benign,4.040640371851599
Second_99,KU_batch,Portmap,12.032084836042227
Second_99,KU_batch,NetBIOS,2.266417689095247
Second_99,KU_batch,LDAP,-2.999041728551884
Second_99,KU_batch,MSSQL,-2.5618035465177043
Second_99,KU_batch,UDP,4.161905317969792
Second_99,KU_batch,UDPLag,
Second_99,KU_batch,Syn,-5.465535732652756
Second_99,KU_single,Benign,5.818954829079074
Second_99,KU_single,Portmap,7.0260211604075105
Second_99,KU_single,NetBIOS,1.9116013782697279
Second_99,KU_single,LDAP,-2.8970164942413756
Second_99,KU_single,MSSQL,-1.5050478277318806
Second_99,KU_single,UDP,-1.1628089018553056
Second_99,KU_single,UDPLag,
Second_99,KU_single,Syn,-2.9574946055428897
Second_99,Predictproba_batch,Benign,4.188580676560716
Second_99,Predictproba_batch,Portmap,15.485050111675914
Second_99,Predictproba_batch,NetBIOS,2.341679907762489
Second_99,Predictproba_batch,LDAP,-2.999306795609938
Second_99,Predictproba_batch,MSSQL,-2.584964685610416
Second_99,Predictproba_batch,UDP,4.2386534522561226
Second_99,Predictproba_batch,UDPLag,
Second_99,Predictproba_batch,Syn,-5.568801864723579
Second_99,Predictproba_single,Benign,6.018384665567219
Second_99,Predictproba_single,Portmap,6.723775525100427
Second_99,Predictproba_single,NetBIOS,2.4478350238167
Second_99,Predictproba_single,LDAP,-2.9190800680141042
Second_99,Predictproba_single,MSSQL,-1.594458802406614
Second_99,Predictproba_single,UDP,-1.3031888756797294
Second_99,Predictproba_single,UDPLag,
Second_99,Predictproba_single,Syn,-2.991534869698657
Second_99,QBC,Benign,-2.138633228717079
Second_99,QBC,Portmap,10.387190210739954
Second_99,QBC,NetBIOS,2.5854078636437685
Second_99,QBC,LDAP,-2.9415708717386515
Second_99,QBC,MSSQL,-2.045444017174402
Second_99,QBC,UDP,-0.5094889061764287
Second_99,QBC,UDPLag,-0.004999076340877759
Second_99,QBC,Syn,1.9478666129157896
Third_99,KU_batch,Benign,4.6483909578573535
Third_99,KU_batch,Portmap,9.298196432423167
Third_99,KU_batch,NetBIOS,2.5064710861009027
Third_99,KU_batch,LDAP,-3.0255362379600803
Third_99,KU_batch,MSSQL,-2.173713472125939
Third_99,KU_batch,UDP,2.5293903761779406
Third_99,KU_batch,UDPLag,0.00594458239897887
Third_99,KU_batch,Syn,-5.241263047885605
Third_99,KU_single,Benign,7.071356023779778
Third_99,KU_single,Portmap,4.828410485780929
Third_99,KU_single,NetBIOS,1.6380642746872158
Third_99,KU_single,LDAP,-2.9070899799078758
Third_99,KU_single,MSSQL,-1.748522241286873
Third_99,KU_single,UDP,-1.6292875781027039
Third_99,KU_single,UDPLag,
Third_99,KU_single,Syn,-1.7167814737850942
Third_99,Predictproba_batch,Benign,4.717913134327306
Third_99,Predictproba_batch,Portmap,12.978460460775374
Third_99,Predictproba_batch,NetBIOS,2.4296015509352347
Third_99,Predictproba_batch,LDAP,-3.0246967421657343
Third_99,Predictproba_batch,MSSQL,-2.5374271770427934
Third_99,Predictproba_batch,UDP,2.8624709486583826
Third_99,Predictproba_batch,UDPLag,
Third_99,Predictproba_batch,Syn,-5.605576801911133
Third_99,Predictproba_single,Benign,6.432105753743923
Third_99,Predictproba_single,Portmap,4.782880004159507
Third_99,Predictproba_single,NetBIOS,2.0975530479804894
Third_99,Predictproba_single,LDAP,-2.9150671060753655
Third_99,Predictproba_single,MSSQL,-1.7962525592783807
Third_99,Predictproba_single,UDP,-1.719332901468327
Third_99,Predictproba_single,UDPLag,
Third_99,Predictproba_single,Syn,-1.2503067590846313
Third_99,QBC,Benign,-1.6977581363540215
