Stage,Algorithm,Attack_Type,KL_Contribution
First_95,KU_batch,Benign,11.840901844220154
First_95,KU_batch,Portmap,-3.306237552331904
First_95,KU_batch,NetBIOS,-0.2567078218570706
First_95,KU_batch,LDAP,-2.742996823987793
First_95,KU_batch,MSSQL,-2.0531118443117946
First_95,KU_batch,UDP,23.120934225667853
First_95,KU_batch,UDPLag,0.09511785498426484
First_95,KU_batch,Syn,-4.926408422487354
First_95,KU_single,Benign,11.053821431405778
First_95,KU_single,Portmap,-0.9976255020692444
First_95,KU_single,NetBIOS,0.03294741497878411
First_95,KU_single,LDAP,-2.577259233050163
First_95,KU_single,MSSQL,4.195347397195278
First_95,KU_single,UDP,3.464639239544813
First_95,KU_single,UDPLag,-0.004462871026284197
First_95,KU_single,Syn,-5.301879743070657
First_95,Predictproba_batch,Benign,14.659755192518661
First_95,Predictproba_batch,Portmap,-3.3233851747168583
First_95,Predictproba_batch,NetBIOS,-0.24465106643012555
First_95,Predictproba_batch,LDAP,-2.6327074761019404
First_95,Predictproba_batch,MSSQL,-1.9576918851416882
First_95,Predictproba_batch,UDP,20.28142562044859
First_95,Predictproba_batch,UDPLag,0.03465735902799726
First_95,Predictproba_batch,Syn,-3.43956427938744
First_95,Predictproba_single,Benign,10.562381656821636
First_95,Predictproba_single,Portmap,-1.3404945947756113
First_95,Predictproba_single,NetBIOS,-0.059032385878056315
First_95,Predictproba_single,LDAP,-2.638841720877266
First_95,Predictproba_single,MSSQL,3.612566594916246
First_95,Predictproba_single,UDP,4.8712396267396905
First_95,Predictproba_single,UDPLag,-0.006757751801802741
First_95,Predictproba_single,Syn,-5.480359644345356
First_95,QBC,Benign,3.0367542586508156
First_95,QBC,Portmap,0.08956517901864404
First_95,QBC,NetBIOS,0.25581688433964966
First_95,QBC,LDAP,-1.4457049247020175
First_95,QBC,MSSQL,3.0513665509190644
First_95,QBC,UDP,6.460157809224787
First_95,QBC,UDPLag,-0.007994511256220325
First_95,QBC,Syn,-5.772083116092367
First_99,KU_batch,Benign,11.76694610014729
First_99,KU_batch,Portmap,-3.187610778014049
First_99,KU_batch,NetBIOS,-0.25456514828042576
First_99,KU_batch,LDAP,-2.0918816873772257
First_99,KU_batch,MSSQL,-0.8308111853350935
First_99,KU_batch,UDP,11.040075887334785
First_99,KU_batch,UDPLag,0.029349657288300957
First_99,KU_batch,Syn,-5.653662649620323
First_99,KU_single,Benign,7.7615315619308625
First_99,KU_single,Portmap,-0.7866250766128723
First_99,KU_single,NetBIOS,0.186115728469635
First_99,KU_single,LDAP,-2.773672527358701
First_99,KU_single,MSSQL,4.314514812512113
First_99,KU_single,UDP,1.8763867763294027
First_99,KU_single,UDPLag,0.009125112971445444
First_99,KU_single,Syn,-5.415391681183828
First_99,Predictproba_batch,Benign,10.482840868083233
First_99,Predictproba_batch,Portmap,-3.044054561547603
First_99,Predictproba_batch,NetBIOS,-0.25765788799959716
First_99,Predictproba_batch,LDAP,-0.8896847774257449
First_99,Predictproba_batch,MSSQL,-0.03661654752191586
First_99,Predictproba_batch,UDP,11.13183346762321
First_99,Predictproba_batch,UDPLag,0.13328410453349485
First_99,Predictproba_batch,Syn,-5.060947881220185
First_99,Predictproba_single,Benign,7.517085134609235
First_99,Predictproba_single,Portmap,-1.0243150897671403
First_99,Predictproba_single,NetBIOS,0.2207842405680309
First_99,Predictproba_single,LDAP,-2.744039165588151
First_99,Predictproba_single,MSSQL,4.919949379329478
First_99,Predictproba_single,UDP,1.7174740491779867
First_99,Predictproba_single,UDPLag,-0.0030386926132325784
First_99,Predictproba_single,Syn,-5.391021183918282
