Stage,Algorithm,Attack_Type,KL_Contribution
First_95,KU_batch,Benign,11.342338642391312
First_95,KU_batch,Portmap,-2.743047188108587
First_95,KU_batch,NetBIOS,-0.24157627880388627
First_95,KU_batch,LDAP,-2.5934062363467745
First_95,KU_batch,MSSQL,-2.828366289908337
First_95,KU_batch,UDP,29.451216607207204
First_95,KU_batch,UDPLag,
First_95,KU_batch,Syn,-4.484285562779102
First_95,KU_single,Benign,8.629589039672226
First_95,KU_single,Portmap,-0.4365641310891652
First_95,KU_single,NetBIOS,0.06417704798133206
First_95,KU_single,LDAP,-2.3251167123157552
First_95,KU_single,MSSQL,0.9603898776768748
First_95,KU_single,UDP,6.377839129670831
First_95,KU_single,UDPLag,
First_95,KU_single,Syn,-5.9824333389303375
First_95,Predictproba_batch,Benign,10.240908260962751
First_95,Predictproba_batch,Portmap,-2.7477213058845518
First_95,Predictproba_batch,NetBIOS,-0.27601888042484085
First_95,Predictproba_batch,LDAP,-2.761527619093076
First_95,Predictproba_batch,MSSQL,-2.9670777973185034
First_95,Predictproba_batch,UDP,25.328629037581365
First_95,Predictproba_batch,UDPLag,0.5006494454096736
First_95,Predictproba_batch,Syn,-5.671243298524317
First_95,Predictproba_single,Benign,9.762879213284172
First_95,Predictproba_single,Portmap,-0.897927495484217
First_95,Predictproba_single,NetBIOS,0.2679628521028405
First_95,Predictproba_single,LDAP,-2.290170503529148
First_95,Predictproba_single,MSSQL,0.6332479704924214
First_95,Predictproba_single,UDP,5.277505650547395
First_95,Predictproba_single,UDPLag,0.20245979288432867
First_95,Predictproba_single,Syn,-5.991923679496545
First_95,QBC,Benign,2.289879126670945
First_95,QBC,Portmap,1.1440383883821434
First_95,QBC,NetBIOS,0.046140547866533606
First_95,QBC,LDAP,-2.3830922975504962
First_95,QBC,MSSQL,0.4241355151806603
First_95,QBC,UDP,10.494738273875845
First_95,QBC,UDPLag,0.9780057513570365
First_95,QBC,Syn,-5.724734133472698
First_99,KU_batch,Benign,9.096710315227403
First_99,KU_batch,Portmap,-2.885088004357716
First_99,KU_batch,NetBIOS,-0.2446714065685665
First_99,KU_batch,LDAP,-1.2367084510494286
First_99,KU_batch,MSSQL,-0.9476287356098264
First_99,KU_batch,UDP,13.35888213799464
First_99,KU_batch,UDPLag,
First_99,KU_batch,Syn,-5.274823881504081
First_99,KU_single,Benign,7.0160968364879714
First_99,KU_single,Portmap,-0.5290082054541846
First_99,KU_single,NetBIOS,0.4534144084988222
First_99,KU_single,LDAP,-2.488238557868872
First_99,KU_single,MSSQL,1.8179359172436154
First_99,KU_single,UDP,2.029134874223455
First_99,KU_single,UDPLag,
First_99,KU_single,Syn,-4.872747288141781
First_99,Predictproba_batch,Benign,10.934706311503387
First_99,Predictproba_batch,Portmap,-2.8245061047955047
First_99,Predictproba_batch,NetBIOS,-0.19361782856728987
First_99,Predictproba_batch,LDAP,-1.6426620180460076
First_99,Predictproba_batch,MSSQL,-1.1666328062068014
First_99,Predictproba_batch,UDP,10.158048933614527
First_99,Predictproba_batch,UDPLag,0.4247237909275129
First_99,Predictproba_batch,Syn,-5.471469453491799
First_99,Predictproba_single,Benign,7.758238357852913
First_99,Predictproba_single,Portmap,-1.1258662643000066
First_99,Predictproba_single,NetBIOS,0.3786329142685082
First_99,Predictproba_single,LDAP,-2.581454267744314
First_99,Predictproba_single,MSSQL,1.1801224190457353
First_99,Predictproba_single,UDP,1.5750457021373547
First_99,Predictproba_single,UDPLag,0.10425497148843679
First_99,Predictproba_single,Syn,-4.26165503671204
First_99,QBC,Benign,-0.24406170966157617
First_99,QBC,Portmap,0.870784084904919
First_99,QBC,NetBIOS,0.429243531373546
First_99,QBC,LDAP,-2.106548442377497
First_99,QBC,MSSQL,0.4574987905085593
First_99,QBC,UDP,3.880314883893836
First_99,QBC,UDPLag,0.7166112612825332
First_99,QBC,Syn,-2.0028830164671385
Second_99,KU_batch,Benign,5.494609826258405
Second_99,KU_batch,Portmap,-2.1567968969432054
Second_99,KU_batch,NetBIOS,-0.07574276678672233
Second_99,KU_batch,LDAP,-1.1248676014543895
Second_99,KU_batch,MSSQL,1.146601221887231
Second_99,KU_batch,UDP,7.7142195756522565
Second_99,KU_batch,UDPLag,
Second_99,KU_batch,Syn,-5.410951557398382
Second_99,KU_single,Benign,6.392842108765342
Second_99,KU_single,Portmap,-0.8913330300263963
Second_99,KU_single,NetBIOS,0.41440703603748547
Second_99,KU_single,LDAP,-2.6104120351689892
Second_99,KU_single,MSSQL,0.9395948582331416
Second_99,KU_single,UDP,-0.0204386344621576
Second_99,KU_single,UDPLag,
Second_99,KU_single,Syn,-2.3403607724925877
Second_99,Predictproba_batch,Benign,6.265197407467501
Second_99,Predictproba_batch,Portmap,-2.353300365910413
Second_99,Predictproba_batch,NetBIOS,-0.0036012339170067515
Second_99,Predictproba_batch,LDAP,-0.8816843808140714
Second_99,Predictproba_batch,MSSQL,0.4410873244764688
Second_99,Predictproba_batch,UDP,6.299849677007982
Second_99,Predictproba_batch,UDPLag,0.05764202304579289
Second_99,Predictproba_batch,Syn,-5.202594649103742
Second_99,Predictproba_single,Benign,6.547349391677225
Second_99,Predictproba_single,Portmap,-1.3169146981515987
Second_99,Predictproba_single,NetBIOS,0.3870619049127181
Second_99,Predictproba_single,LDAP,-2.6562184879896993
Second_99,Predictproba_single,MSSQL,0.6763851623955278
Second_99,Predictproba_single,UDP,-0.017334867545961943
Second_99,Predictproba_single,UDPLag,0.06630076623073121
Second_99,Predictproba_single,Syn,-1.7235017541528375
Second_99,QBC,Benign,-1.5908972622206945
Second_99,QBC,Portmap,-0.026587656303371884
Second_99,QBC,NetBIOS,0.48452221646411686
Second_99,QBC,LDAP,-2.4326921104484676
Second_99,QBC,MSSQL,-0.11211347572270888
Second_99,QBC,UDP,1.0362386562882155
Second_99,QBC,UDPLag,0.039144192769114364
Second_99,QBC,Syn,4.013108239672943
Third_99,KU_batch,Benign,5.184877347671105
Third_99,KU_batch,Portmap,-2.1757634727029878
Third_99,KU_batch,NetBIOS,0.10858037754904754
Third_99,KU_batch,LDAP,-1.3458364592179572
Third_99,KU_batch,MSSQL,1.1678794819637413
Third_99,KU_batch,UDP,4.313299716748764
Third_99,KU_batch,UDPLag,
Third_99,KU_batch,Syn,-4.406889776609783
Third_99,KU_single,Benign,7.018426307975991
Third_99,KU_single,Portmap,-1.5210950032707506
Third_99,KU_single,NetBIOS,0.2768303542168227
Third_99,KU_single,LDAP,-2.8291571571874483
Third_99,KU_single,MSSQL,0.5168213056745857
Third_99,KU_single,UDP,-0.8835041614191838
Third_99,KU_single,UDPLag,
Third_99,KU_single,Syn,-0.2900008296493502
Third_99,Predictproba_batch,Benign,5.626097000412814
Third_99,Predictproba_batch,Portmap,-2.4213684097415373
Third_99,Predictproba_batch,NetBIOS,0.04689979491469715
Third_99,Predictproba_batch,LDAP,-1.250642495663927
Third_99,Predictproba_batch,MSSQL,0.9058240931333443
Third_99,Predictproba_batch,UDP,4.493143578077256
Third_99,Predictproba_batch,UDPLag,0.06449156600673443
Third_99,Predictproba_batch,Syn,-4.388836656199282
Third_99,Predictproba_single,Benign,7.285065239756895
Third_99,Predictproba_single,Portmap,-1.6797011947738814
Third_99,Predictproba_single,NetBIOS,0.21059766358516357
Third_99,Predictproba_single,LDAP,-2.855849800257169
Third_99,Predictproba_single,MSSQL,-0.009095653270825182
Third_99,Predictproba_single,UDP,-1.0039713205275458
Third_99,Predictproba_single,UDPLag,0.1033407117676787
Third_99,Predictproba_single,Syn,0.5165326020462724
Third_99,QBC,Benign,-1.5997375203976862
Third_99,QBC,Portmap,-0.6351891032978878
Third_99,QBC,NetBIOS,0.4979255201675498
Third_99,QBC,LDAP,-2.7432325071101054
Third_99,QBC,MSSQL,-0.5677440340949187
Third_99,QBC,UDP,-0.30001613582669934
Third_99,QBC,UDPLag,0.12242341090441365
Third_99,QBC,Syn,8.0659495774744
