Stage,Algorithm,Attack_Type,KL_Contribution
First_95,KU_batch,Benign,32.64945337631138
First_95,KU_batch,Portmap,-2.106726977130704
First_95,KU_batch,NetBIOS,-0.33866077200184347
First_95,KU_batch,LDAP,-2.5114811950480167
First_95,KU_batch,MSSQL,-2.8896298027232707
First_95,KU_batch,UDP,-3.7829415849559314
First_95,KU_batch,UDPLag,
First_95,KU_batch,Syn,-5.44015520083343
First_95,KU_single,Benign,18.902269616601295
First_95,KU_single,Portmap,-1.100217817265855
First_95,KU_single,NetBIOS,0.12721772691032834
First_95,KU_single,LDAP,-2.7287535679933
First_95,KU_single,MSSQL,-2.832213124825699
First_95,KU_single,UDP,-2.985292992729989
First_95,KU_single,UDPLag,
First_95,KU_single,Syn,-3.103850285437913
First_95,Predictproba_batch,Benign,31.02556824943638
First_95,Predictproba_batch,Portmap,-2.45388695830091
First_95,Predictproba_batch,NetBIOS,0.090472442328171
First_95,Predictproba_batch,LDAP,-2.4921808403103376
First_95,Predictproba_batch,MSSQL,-2.674321641470997
First_95,Predictproba_batch,UDP,-3.8916925633307144
First_95,Predictproba_batch,UDPLag,2.4785341138599724
First_95,Predictproba_batch,Syn,-5.529156991792359
First_95,Predictproba_single,Benign,15.024518681658467
First_95,Predictproba_single,Portmap,0.5028455216910123
First_95,Predictproba_single,NetBIOS,0.21361568842610126
First_95,Predictproba_single,LDAP,-2.683822405702793
First_95,Predictproba_single,MSSQL,-2.342083977245659
First_95,Predictproba_single,UDP,-2.005527977925312
First_95,Predictproba_single,UDPLag,4.258596595708119
First_95,Predictproba_single,Syn,-4.24896268194659
First_95,QBC,Benign,11.19154362455263
First_95,QBC,Portmap,-0.45444661394858554
First_95,QBC,NetBIOS,-0.2288980614608392
First_95,QBC,LDAP,-2.7591340767792536
First_95,QBC,MSSQL,-2.312161770416977
First_95,QBC,UDP,-3.4739296999715736
First_95,QBC,UDPLag,0.3682950322459608
First_95,QBC,Syn,2.4032621306087227
First_99,KU_batch,Benign,27.745322936493775
First_99,KU_batch,Portmap,-2.330907528909359
First_99,KU_batch,NetBIOS,-0.32471869866708236
First_99,KU_batch,LDAP,-2.395533515448161
First_99,KU_batch,MSSQL,-2.5837419222154874
First_99,KU_batch,UDP,-3.8191915422163665
First_99,KU_batch,UDPLag,
First_99,KU_batch,Syn,-4.772867175788841
First_99,KU_single,Benign,16.258121604741632
First_99,KU_single,Portmap,-1.6799340459003043
First_99,KU_single,NetBIOS,0.2057843483938674
First_99,KU_single,LDAP,-2.4766085545995997
First_99,KU_single,MSSQL,-2.4775513176972934
First_99,KU_single,UDP,-2.1847560246367093
First_99,KU_single,UDPLag,1.327981174513697
First_99,KU_single,Syn,-2.9886283348971974
First_99,Predictproba_batch,Benign,23.299495450696945
First_99,Predictproba_batch,Portmap,-2.2005518258827044
First_99,Predictproba_batch,NetBIOS,0.017788832716721756
