Stage,Algorithm,Attack_Type,KL_Contribution
First_95,KU_batch,Benign,16.27498451085621
First_95,KU_batch,Portmap,21.89566466369102
First_95,KU_batch,NetBIOS,4.325188231635879
First_95,KU_batch,LDAP,-1.3055917453226096
First_95,KU_batch,MSSQL,-2.900134912770533
First_95,KU_batch,UDP,-2.5697346208839096
First_95,KU_batch,UDPLag,
First_95,KU_batch,Syn,-3.0351783808393544
First_95,KU_single,Benign,9.378930566820422
First_95,KU_single,Portmap,15.933803795405858
First_95,KU_single,NetBIOS,4.978349963760964
First_95,KU_single,LDAP,-2.2728812577557687
First_95,KU_single,MSSQL,0.5531563840445122
First_95,KU_single,UDP,-3.4573488853776015
First_95,KU_single,UDPLag,0.23877226969550439
First_95,KU_single,Syn,-5.536130976930129
First_95,Predictproba_batch,Benign,15.015427556936903
First_95,Predictproba_batch,Portmap,22.316869532988868
First_95,Predictproba_batch,NetBIOS,4.093725945579783
First_95,Predictproba_batch,LDAP,-1.7392715471986848
First_95,Predictproba_batch,MSSQL,-2.890108709888698
First_95,Predictproba_batch,UDP,-2.6791998413072817
First_95,Predictproba_batch,UDPLag,
First_95,Predictproba_batch,Syn,-3.959197814358236
First_95,Predictproba_single,Benign,9.337670459939785
First_95,Predictproba_single,Portmap,15.676541721514214
First_95,Predictproba_single,NetBIOS,4.34921623707203
First_95,Predictproba_single,LDAP,-2.2507003686591034
First_95,Predictproba_single,MSSQL,1.8241216188745408
First_95,Predictproba_single,UDP,-3.322736777598489
First_95,Predictproba_single,UDPLag,
First_95,Predictproba_single,Syn,-5.353717684080865
First_95,QBC,Benign,2.102483347103094
First_95,QBC,Portmap,27.345761072557995
First_95,QBC,NetBIOS,4.374371367475039
First_95,QBC,LDAP,-1.4772780738252855
First_95,QBC,MSSQL,0.34086064514679976
First_95,QBC,UDP,-2.851075147781062
First_95,QBC,UDPLag,0.5965058948192726
First_95,QBC,Syn,-5.878492364347809
First_99,KU_batch,Benign,10.593165941948765
First_99,KU_batch,Portmap,16.848446927957976
First_99,KU_batch,NetBIOS,3.5922548820000513
First_99,KU_batch,LDAP,0.6521531645290931
First_99,KU_batch,MSSQL,-2.243102261675577
First_99,KU_batch,UDP,-3.269428720881044
First_99,KU_batch,UDPLag,
First_99,KU_batch,Syn,-4.7526540357132525
First_99,KU_single,Benign,7.119947367603499
First_99,KU_single,Portmap,10.125518021886549
First_99,KU_single,NetBIOS,3.899469145480524
First_99,KU_single,LDAP,-2.447922070745254
First_99,KU_single,MSSQL,1.5508238840620685
First_99,KU_single,UDP,-3.563632518251397
First_99,KU_single,UDPLag,0.17548317636598107
First_99,KU_single,Syn,-5.4613625311031155
First_99,Predictproba_batch,Benign,9.441862999725755
First_99,Predictproba_batch,Portmap,17.02435182895602
First_99,Predictproba_batch,NetBIOS,3.475187135504923
First_99,Predictproba_batch,LDAP,0.27582528161395814
First_99,Predictproba_batch,MSSQL,-1.9582344593562604
First_99,Predictproba_batch,UDP,-3.3044442215329606
First_99,Predictproba_batch,UDPLag,
First_99,Predictproba_batch,Syn,-5.246181993526045
First_99,Predictproba_single,Benign,6.611391568601565
First_99,Predictproba_single,Portmap,10.728020958135541
First_99,Predictproba_single,NetBIOS,3.539913573908221
First_99,Predictproba_single,LDAP,-2.3959611934077256
First_99,Predictproba_single,MSSQL,2.6466765665767076
First_99,Predictproba_single,UDP,-3.571236572281409
First_99,Predictproba_single,UDPLag,0.17548317636598107
First_99,Predictproba_single,Syn,-5.684502038553147
First_99,QBC,Benign,-0.4204665465631278
First_99,QBC,Portmap,16.698939180229015
First_99,QBC,NetBIOS,3.679214897163514
First_99,QBC,LDAP,-2.132788974737925
First_99,QBC,MSSQL,0.9188272391476406
First_99,QBC,UDP,-3.4222051968411162
First_99,QBC,UDPLag,0.48731038051494246
First_99,QBC,Syn,-3.318200866455491
Second_99,KU_batch,Benign,6.201614673528544
Second_99,KU_batch,Portmap,15.794930917636686
Second_99,KU_batch,NetBIOS,3.2923151819911958
Second_99,KU_batch,LDAP,0.8759913003678604
Second_99,KU_batch,MSSQL,-0.8305846484980041
Second_99,KU_batch,UDP,-3.5301363312559664
Second_99,KU_batch,UDPLag,-0.002967364280544947
Second_99,KU_batch,Syn,-5.256954756674796
Second_99,KU_single,Benign,5.952899062577764
Second_99,KU_single,Portmap,7.2693721989620474
Second_99,KU_single,NetBIOS,3.510814904671993
Second_99,KU_single,LDAP,-2.5970607902732894
Second_99,KU_single,MSSQL,0.6877931768505884
Second_99,KU_single,UDP,-3.5307406665772882
Second_99,KU_single,UDPLag,-0.0027249496340842247
Second_99,KU_single,Syn,-3.2530329398289948
Second_99,Predictproba_batch,Benign,5.686148970604017
Second_99,Predictproba_batch,Portmap,13.855552739619823
Second_99,Predictproba_batch,NetBIOS,3.057189374856824
