Stage,Algorithm,Total_KL_Divergence
First_95,KU_batch,4.919980120882941
First_95,KU_single,58.82258731333009
First_95,Predictproba_single,58.86548387256417
First_95,QBC,52.94503169788926
First_95,Random,96.04345795969262
First_99,KU_batch,7.236935688563348
First_99,KU_single,41.65007341978665
First_99,Predictproba_single,43.194464200703116
First_99,QBC,43.93043932095085
First_99,Random,78.24633140755698
Second_99,KU_batch,4.420038879956889
Second_99,KU_single,33.99616698783455
Second_99,Predictproba_single,35.08309229138678
Second_99,QBC,34.656550179605325
Second_99,Random,60.042966816963975
Third_99,KU_batch,4.418185143468626
Third_99,KU_single,29.296396224769758
Third_99,Predictproba_single,30.101693832500274
Third_99,QBC,31.213010027199314
Third_99,Random,47.81500205093354
