Stage,Algorithm,Total_KL_Divergence
First_95,KU_batch,7.125166615935776
First_95,KU_single,33.1804605520429
First_95,Predictproba_single,29.638944504159358
First_95,QBC,20.226562037228025
First_95,Random,99.28150389479407
First_99,KU_batch,5.758180031080517
First_99,KU_single,30.500826393600207
First_99,Predictproba_single,29.175394639633474
First_99,QBC,29.149094821842265
First_99,Random,63.65763675304723
Second_99,KU_batch,4.6372001870478
Second_99,KU_single,23.905126028767086
Second_99,Predictproba_single,23.818501907234005
Second_99,QBC,35.575076267803766
Second_99,Random,46.19795893306457
Third_99,KU_batch,5.1232688255781555
Third_99,KU_single,22.332990977388572
Third_99,Predictproba_single,22.38119881235255
Third_99,QBC,36.016537464981525
Third_99,Random,40.08569702448778
