Stage,Algorithm,Total_KL_Divergence
First_95,KU_batch,6.632184158067217
First_95,KU_single,30.26340812245626
First_95,Predictproba_single,29.20692677625309
First_95,QBC,44.92139203710454
First_95,Random,75.08271117646149
First_99,KU_batch,6.468153547653504
First_99,KU_single,25.75833001228654
First_99,Predictproba_single,26.40042169219395
First_99,QBC,43.59905294121158
First_99,Random,46.263962179746684
Second_99,KU_batch,6.384086966131393
Second_99,KU_single,19.616355054652367
Second_99,Predictproba_single,20.579747233768632
Second_99,QBC,40.42865579382513
Second_99,Random,33.70468229761636
Third_99,KU_batch,4.193838204188833
Third_99,KU_single,16.767035035388936
Third_99,Predictproba_single,16.202094568810125
Third_99,QBC,40.53520001983955
Third_99,Random,27.56279563303005
