Stage,Algorithm,Total_KL_Divergence
First_95,KU_batch,6.66314096985313
First_95,KU_single,25.477110785815697
First_95,Predictproba_single,24.244823830829716
First_95,QBC,34.4434312468897
First_95,Random,57.847422332362996
First_99,KU_batch,5.416507949798554
First_99,KU_single,22.796583938151922
First_99,Predictproba_single,22.722780833307066
First_99,QBC,35.95622695954789
First_99,Random,41.12026366849019
Second_99,KU_batch,3.8913527362322604
Second_99,KU_single,15.962632461690966
Second_99,Predictproba_single,16.34525154983417
Second_99,QBC,34.11303069262797
Second_99,Random,25.367214206702286
Third_99,KU_batch,1.444925100541248
Third_99,KU_single,15.955442814015319
Third_99,Predictproba_single,17.67040119954038
Third_99,QBC,34.938077694789655
Third_99,Random,21.636797457810715
