Stage,Algorithm,Total_KL_Divergence
First_95,KU_batch,3.4242390348572007
First_95,KU_single,22.530385852859194
First_95,Predictproba_single,28.314598549707924
First_95,QBC,37.036785184272816
First_95,Random,57.284657348726014
First_99,KU_batch,6.879867069020284
First_99,KU_single,13.84080913848595
First_99,Predictproba_single,15.95675857315269
First_99,QBC,27.912986193760805
First_99,Random,42.158661654510894
Second_99,KU_batch,11.507120955167107
Second_99,KU_single,7.162970182657588
Second_99,Predictproba_single,7.990577981771116
Second_99,QBC,23.02914705331782
Second_99,Random,32.0749325838059
Third_99,KU_batch,11.839062103780366
Third_99,KU_single,5.450814455414595
Third_99,Predictproba_single,8.237516441062457
Third_99,QBC,20.151455014636117
Third_99,Random,27.35011486749087
