Stage,Algorithm,Total_KL_Divergence
First_95,KU_batch,3.2169271049560644
First_95,KU_single,21.26112141099219
First_95,Predictproba_single,22.15519280540159
First_95,QBC,26.223132208234922
First_95,Random,85.14006341962013
First_99,KU_batch,2.694598970649656
First_99,KU_single,21.077367297946516
First_99,Predictproba_single,21.017184097762794
First_99,QBC,30.515028835067728
First_99,Random,57.927720846074486
Second_99,KU_batch,5.102235396353837
Second_99,KU_single,16.056433858219705
Second_99,Predictproba_single,16.190589365996516
Second_99,QBC,31.06554104118642
Second_99,Random,39.41045172979133
Third_99,KU_batch,7.821313122105833
Third_99,KU_single,13.355260787120713
Third_99,Predictproba_single,14.421691476346517
Third_99,QBC,31.645768408140754
Third_99,Random,30.409152043645353
