Stage,Algorithm,Total_KL_Divergence
First_95,KU_batch,68.35277313010793
First_95,KU_single,3.2783041360497704
First_95,Predictproba_batch,71.3185657452919
First_95,QBC,17.50823014980354
First_95,Random,57.71895292760378
First_99,KU_batch,37.1633463076189
First_99,KU_single,2.6754691284152705
First_99,Predictproba_batch,43.238690006678816
First_99,QBC,16.19726516087078
First_99,Random,42.188396471136315
Second_99,KU_batch,31.109396083253582
Second_99,KU_single,2.599794194326697
Second_99,Predictproba_batch,35.28060827458387
Second_99,QBC,17.513085798120507
Second_99,Random,36.80014394613489
Third_99,KU_batch,26.114992214572947
Third_99,KU_single,0.8704314067987811
Third_99,Predictproba_batch,30.862593711653382
Third_99,QBC,19.19639198361492
Third_99,Random,34.16919201998256
