Stage,Algorithm,Total_KL_Divergence
First_95,KU_batch,28.03313441306372
First_95,KU_single,3.102852383172783
First_95,Predictproba_batch,23.994600437473103
First_95,QBC,15.993367273251014
First_95,Random,55.28263093760842
First_99,KU_batch,20.65928737715229
First_99,KU_single,1.1541413289243343
First_99,Predictproba_batch,22.570268943043597
First_99,QBC,14.150546867765685
First_99,Random,33.758683024797605
Second_99,KU_batch,17.662917352122196
Second_99,KU_single,1.057102150949207
Second_99,Predictproba_batch,20.741676362227675
Second_99,QBC,17.83763763040149
Second_99,Random,28.11370321381004
Third_99,KU_batch,16.493039788143612
Third_99,KU_single,1.5642620166930925
Third_99,Predictproba_batch,20.50390092681053
Third_99,QBC,18.328348753595414
Third_99,Random,26.558076053211952
