Stage,Algorithm,Total_KL_Divergence
First_95,KU_batch,23.324326234147566
First_95,KU_single,2.9227767180046476
First_95,Predictproba_batch,23.669596362394664
First_95,QBC,15.035153824730859
First_95,Random,42.630132798620934
First_99,KU_batch,22.07897589294859
First_99,KU_single,1.248477020081906
First_99,Predictproba_batch,23.455774799256343
First_99,QBC,19.26298064530347
First_99,Random,28.874900872873596
Second_99,KU_batch,19.799058076888194
Second_99,KU_single,2.554756288236779
Second_99,Predictproba_batch,20.381831216569722
Second_99,QBC,19.930857024834015
Second_99,Random,21.12758025413607
Third_99,KU_batch,16.419818624529142
Third_99,KU_single,1.4405220701454506
Third_99,Predictproba_batch,16.55205265392357
Third_99,QBC,21.138153109464845
Third_99,Random,20.29354952008864
