Stage,Algorithm,Total_KL_Divergence
First_95,KU_batch,28.642204295965374
First_95,KU_single,3.138207765187963
First_95,Predictproba_batch,24.165557232207988
First_95,QBC,15.163571539923431
First_95,Random,33.5189921080728
First_99,KU_batch,22.57781337077341
First_99,KU_single,3.782936800434354
First_99,Predictproba_batch,20.448811299000454
First_99,QBC,16.777820879552934
First_99,Random,22.238015197804717
Second_99,KU_batch,18.524694747326166
Second_99,KU_single,1.8053265246537529
Second_99,Predictproba_batch,16.547403638509934
Second_99,QBC,17.80336927871372
Second_99,Random,15.785275135117494
Third_99,KU_batch,18.647602026694873
Third_99,KU_single,2.138214792449145
Third_99,Predictproba_batch,18.790990120129734
Third_99,QBC,18.73747859301618
Third_99,Random,17.319419416612867
