Stage,Algorithm,Total_KL_Divergence
First_95,KU_batch,24.08453464576184
First_95,KU_single,8.951309201153471
First_95,Predictproba_batch,22.523906427177504
First_95,QBC,16.200379909009584
First_95,Random,30.20302921349392
First_99,KU_batch,18.867184868670993
First_99,KU_single,7.017788133482654
First_99,Predictproba_batch,14.140067988648076
First_99,QBC,17.2599967373729
First_99,Random,26.860281612817637
Second_99,KU_batch,16.182815629858762
Second_99,KU_single,3.6429023950621366
Second_99,Predictproba_batch,7.0255551521883985
Second_99,QBC,17.672476759823688
Second_99,Random,27.65315408496285
Third_99,KU_batch,16.669195221741944
Third_99,KU_single,3.0863356615562503
Third_99,Predictproba_batch,7.721698851994475
Third_99,QBC,17.250004464698726
Third_99,Random,27.723770619579987
