Stage,Algorithm,Total_KL_Divergence
First_95,KU_batch,16.526044100964295
First_95,KU_single,2.306808344121662
First_95,Predictproba_batch,15.044556657976665
First_95,QBC,17.889230411542677
First_95,Random,60.15715787630238
First_99,KU_batch,19.64746682001078
First_99,KU_single,2.8970048501388628
First_99,Predictproba_batch,17.846782528357032
First_99,QBC,18.643531151741836
First_99,Random,42.029533134968275
Second_99,KU_batch,19.326532722308492
Second_99,KU_single,1.4550150643608526
Second_99,Predictproba_batch,16.575888010528878
Second_99,QBC,21.467996591239757
Second_99,Random,31.690535586853393
Third_99,KU_batch,21.275295734107154
Third_99,KU_single,2.03449229665074
Third_99,Predictproba_batch,15.77352382144054
Third_99,QBC,20.721846524615103
Third_99,Random,29.3003233330856
