Stage,Algorithm,Attack_Type,Percentage_Difference
First_95,KU_batch,Benign,-43.01591778047981
First_95,KU_batch,Portmap,57.542392840320325
First_95,KU_batch,NetBIOS,52.277197760629434
First_95,KU_batch,LDAP,-72.96782697846994
First_95,KU_batch,MSSQL,383.0143501965668
First_95,KU_batch,UDP,95.27638319019344
First_95,KU_batch,UDPLag,-100.0
First_95,KU_batch,Syn,-93.90090110746796
First_95,KU_single,Benign,-0.2600566807983354
First_95,KU_single,Portmap,111.45342675459258
First_95,KU_single,NetBIOS,202.8446058405205
First_95,KU_single,LDAP,-93.47263584435873
First_95,KU_single,MSSQL,62.30929769782075
First_95,KU_single,UDP,38.567496623257476
First_95,KU_single,UDPLag,-24.999999999999993
First_95,KU_single,Syn,-75.87263736347725
First_95,Predictproba_batch,Benign,-42.090809481319866
First_95,Predictproba_batch,Portmap,35.84844559585492
First_95,Predictproba_batch,NetBIOS,70.5553033741867
First_95,Predictproba_batch,LDAP,-70.62930234828883
First_95,Predictproba_batch,MSSQL,399.4774392907411
First_95,Predictproba_batch,UDP,87.4104844669844
First_95,Predictproba_batch,UDPLag,224.99999999999994
First_95,Predictproba_batch,Syn,-91.47196172395081
First_95,Predictproba_single,Benign,-1.6678301795200148
First_95,Predictproba_single,Portmap,107.52178520960915
First_95,Predictproba_single,NetBIOS,208.33711605386603
First_95,Predictproba_single,LDAP,-95.90880242152028
First_95,Predictproba_single,MSSQL,75.80365954279979
First_95,Predictproba_single,UDP,33.92543133107364
First_95,Predictproba_single,UDPLag,-2.499999999999995
First_95,Predictproba_single,Syn,-71.94873088299362
First_95,QBC,Benign,-16.881030425475885
First_95,QBC,Portmap,166.49935233160622
First_95,QBC,NetBIOS,285.33817521561514
First_95,QBC,LDAP,-95.49870624420251
First_95,QBC,MSSQL,69.79502030382939
First_95,QBC,UDP,67.7616656897474
First_95,QBC,UDPLag,-100.0
First_95,QBC,Syn,-73.60190768807465
First_99,KU_batch,Benign,-21.3593149879909
First_99,KU_batch,Portmap,80.90524333809518
First_99,KU_batch,NetBIOS,168.08437995366415
First_99,KU_batch,LDAP,-83.29073320598752
First_99,KU_batch,MSSQL,165.2194095552746
First_99,KU_batch,UDP,83.8563294860291
First_99,KU_batch,UDPLag,50.000000000000014
First_99,KU_batch,Syn,-76.06800633667319
First_99,KU_single,Benign,3.6957061911607205
First_99,KU_single,Portmap,74.82304810704001
First_99,KU_single,NetBIOS,231.52347274722604
First_99,KU_single,LDAP,-94.28979710715264
First_99,KU_single,MSSQL,42.5105436558108
First_99,KU_single,UDP,17.341956245938757
First_99,KU_single,UDPLag,54.54545454545456
First_99,KU_single,Syn,-51.03548513222993
First_99,Predictproba_batch,Benign,-25.242291985812976
First_99,Predictproba_batch,Portmap,89.55302784836033
First_99,Predictproba_batch,NetBIOS,180.51652237532
First_99,Predictproba_batch,LDAP,-84.33252061901361
First_99,Predictproba_batch,MSSQL,190.0213180261906
First_99,Predictproba_batch,UDP,91.34054831822264
First_99,Predictproba_batch,UDPLag,285.7142857142858
First_99,Predictproba_batch,Syn,-85.38441335264918
First_99,Predictproba_single,Benign,2.021260852146925
First_99,Predictproba_single,Portmap,76.6861644980303
First_99,Predictproba_single,NetBIOS,221.48518473356918
First_99,Predictproba_single,LDAP,-95.56502477593534
First_99,Predictproba_single,MSSQL,41.10184663941162
First_99,Predictproba_single,UDP,14.756823034316332
First_99,Predictproba_single,UDPLag,146.66666666666663
First_99,Predictproba_single,Syn,-43.068057438876416
First_99,QBC,Benign,-10.981900134387148
First_99,QBC,Portmap,115.9122680669774
First_99,QBC,NetBIOS,257.82172905743204
First_99,QBC,LDAP,-94.72589642908979
First_99,QBC,MSSQL,25.675993687649356
First_99,QBC,UDP,28.114459881795952
First_99,QBC,UDPLag,-100.0
First_99,QBC,Syn,-22.642221591037377
Second_99,KU_batch,Benign,-11.184805997705313
Second_99,KU_batch,Portmap,85.92978062546936
Second_99,KU_batch,NetBIOS,143.71204120026525
Second_99,KU_batch,LDAP,-87.65835002788704
Second_99,KU_batch,MSSQL,115.49296624758776
Second_99,KU_batch,UDP,61.048314117702986
Second_99,KU_batch,UDPLag,109.40170940170941
Second_99,KU_batch,Syn,-71.01939907185559
Second_99,KU_single,Benign,6.037121697298123
Second_99,KU_single,Portmap,53.6383384321754
Second_99,KU_single,NetBIOS,190.10617116509843
Second_99,KU_single,LDAP,-94.3884442696558
Second_99,KU_single,MSSQL,30.850676644293014
Second_99,KU_single,UDP,4.085325628342699
Second_99,KU_single,UDPLag,189.12393162393167
Second_99,KU_single,Syn,-32.11884093700427
Second_99,Predictproba_batch,Benign,-14.976134268041827
Second_99,Predictproba_batch,Portmap,82.59660557986443
Second_99,Predictproba_batch,NetBIOS,164.37226434127058
Second_99,Predictproba_batch,LDAP,-87.80794847054703
Second_99,Predictproba_batch,MSSQL,126.09006681435923
Second_99,Predictproba_batch,UDP,73.98592609164186
Second_99,Predictproba_batch,UDPLag,124.44444444444447
Second_99,Predictproba_batch,Syn,-70.90394892217682
Second_99,Predictproba_single,Benign,4.942553923387494
Second_99,Predictproba_single,Portmap,56.739642390575874
Second_99,Predictproba_single,NetBIOS,163.02747700539325
Second_99,Predictproba_single,LDAP,-95.62123046050233
Second_99,Predictproba_single,MSSQL,28.27217743451138
Second_99,Predictproba_single,UDP,1.4656799170501043
Second_99,Predictproba_single,UDPLag,291.1188811188811
Second_99,Predictproba_single,Syn,-25.24690620810684
