Stage,Algorithm,Attack_Type,Percentage_Difference
First_95,KU_batch,Benign,-0.27895012304985733
First_95,KU_batch,Portmap,189.27986323812237
First_95,KU_batch,NetBIOS,218.95645645645644
First_95,KU_batch,LDAP,-87.52558139534884
First_95,KU_batch,MSSQL,-85.18518518518519
First_95,KU_batch,UDP,110.87368136326752
First_95,KU_batch,UDPLag,-100.0
First_95,KU_batch,Syn,-90.15009380863039
First_95,KU_single,Benign,14.521553212102331
First_95,KU_single,Portmap,133.59569769926637
First_95,KU_single,NetBIOS,263.25075075075085
First_95,KU_single,LDAP,-79.28682170542635
First_95,KU_single,MSSQL,-40.97993827160495
First_95,KU_single,UDP,8.29321071138761
First_95,KU_single,UDPLag,-100.0
First_95,KU_single,Syn,-68.66239929367622
First_95,Predictproba_batch,Benign,3.9103128027527716
First_95,Predictproba_batch,Portmap,204.33079279150928
First_95,Predictproba_batch,NetBIOS,234.1216216216216
First_95,Predictproba_batch,LDAP,-92.2015503875969
First_95,Predictproba_batch,MSSQL,-86.46219135802468
First_95,Predictproba_batch,UDP,89.46443061942107
First_95,Predictproba_batch,UDPLag,-100.0
First_95,Predictproba_batch,Syn,-94.56461759187728
First_95,Predictproba_single,Benign,13.917996458836745
First_95,Predictproba_single,Portmap,144.2980269249946
First_95,Predictproba_single,NetBIOS,286.936936936937
First_95,Predictproba_single,LDAP,-81.15038759689922
First_95,Predictproba_single,MSSQL,-38.71527777777778
First_95,Predictproba_single,UDP,11.449824181769037
First_95,Predictproba_single,UDPLag,-100.0
First_95,Predictproba_single,Syn,-75.47732038406357
First_95,QBC,Benign,-0.23607754924778965
First_95,QBC,Portmap,211.83845003205354
First_95,QBC,NetBIOS,317.1171171171171
First_95,QBC,LDAP,-82.52713178294573
First_95,QBC,MSSQL,-47.35725308641977
First_95,QBC,UDP,33.48931566134706
First_95,QBC,UDPLag,-100.0
First_95,QBC,Syn,-75.12967663613288
First_99,KU_batch,Benign,5.878163830717675
First_99,KU_batch,Portmap,129.31725840233184
First_99,KU_batch,NetBIOS,149.23285790178414
First_99,KU_batch,LDAP,-66.52395031452781
First_99,KU_batch,MSSQL,-59.94518327716366
First_99,KU_batch,UDP,63.12821239948872
First_99,KU_batch,UDPLag,-100.0
First_99,KU_batch,Syn,-72.85068847794227
First_99,KU_single,Benign,11.863053088642953
First_99,KU_single,Portmap,88.13877031145726
First_99,KU_single,NetBIOS,162.55515202728938
First_99,KU_single,LDAP,-73.61427767535842
First_99,KU_single,MSSQL,-23.174905297356798
First_99,KU_single,UDP,-4.833127633900694
First_99,KU_single,UDPLag,-100.0
First_99,KU_single,Syn,-40.73347373614272
First_99,Predictproba_batch,Benign,5.968266103907543
First_99,Predictproba_batch,Portmap,152.80100851539217
First_99,Predictproba_batch,NetBIOS,195.81518750601927
First_99,Predictproba_batch,LDAP,-69.59520725620956
First_99,Predictproba_batch,MSSQL,-63.22666505469587
First_99,Predictproba_batch,UDP,64.93470536739989
First_99,Predictproba_batch,UDPLag,-100.0
First_99,Predictproba_batch,Syn,-86.4290035532783
First_99,Predictproba_single,Benign,11.411496307092754
First_99,Predictproba_single,Portmap,90.5194107003257
First_99,Predictproba_single,NetBIOS,191.4894542426907
First_99,Predictproba_single,LDAP,-74.16749229441282
First_99,Predictproba_single,MSSQL,-22.763522891531867
First_99,Predictproba_single,UDP,-3.808208833160562
First_99,Predictproba_single,UDPLag,-100.0
First_99,Predictproba_single,Syn,-42.77687773290886
First_99,QBC,Benign,-1.5185159810822206
First_99,QBC,Portmap,132.15894116872218
First_99,QBC,NetBIOS,212.80816321458414
First_99,QBC,LDAP,-69.64820202313533
First_99,QBC,MSSQL,-29.108149302348274
First_99,QBC,UDP,11.815182296368372
First_99,QBC,UDPLag,-48.529411764705884
First_99,QBC,Syn,-32.86944738567828
Second_99,KU_batch,Benign,7.682681874021413
Second_99,KU_batch,Portmap,106.59064367990649
Second_99,KU_batch,NetBIOS,166.3124927791147
Second_99,KU_batch,LDAP,-64.69312134069263
Second_99,KU_batch,MSSQL,-54.08618507852211
Second_99,KU_batch,UDP,36.50224209718383
Second_99,KU_batch,UDPLag,-100.0
Second_99,KU_batch,Syn,-54.365240762233924
Second_99,KU_single,Benign,10.904378230250567
Second_99,KU_single,Portmap,68.24537670819892
Second_99,KU_single,NetBIOS,145.24993523219877
Second_99,KU_single,LDAP,-72.4821574593123
Second_99,KU_single,MSSQL,-24.192731066202082
Second_99,KU_single,UDP,-12.71194077347621
Second_99,KU_single,UDPLag,-100.0
Second_99,KU_single,Syn,-21.989715877026516
Second_99,Predictproba_batch,Benign,7.9540771725116155
Second_99,Predictproba_batch,Portmap,130.73248701218336
Second_99,Predictproba_batch,NetBIOS,170.67057884007207
Second_99,Predictproba_batch,LDAP,-64.61178234192585
Second_99,Predictproba_batch,MSSQL,-55.66886886707897
Second_99,Predictproba_batch,UDP,37.09863588317744
Second_99,Predictproba_batch,UDPLag,-100.0
Second_99,Predictproba_batch,Syn,-67.89101670161968
Second_99,Predictproba_single,Benign,11.260357300533673
Second_99,Predictproba_single,Portmap,65.7563967231409
Second_99,Predictproba_single,NetBIOS,176.758547374724
Second_99,Predictproba_single,LDAP,-71.48984964405429
Second_99,Predictproba_single,MSSQL,-25.946203410749263
Second_99,Predictproba_single,UDP,-14.38882335611412
Second_99,Predictproba_single,UDPLag,-100.0
Second_99,Predictproba_single,Syn,-22.287105470319617
Second_99,QBC,Benign,-4.3130203389648845
Second_99,QBC,Portmap,94.5061385082678
Second_99,QBC,NetBIOS,184.55113191872135
Second_99,QBC,LDAP,-70.31472865075811
Second_99,QBC,MSSQL,-35.9520670526411
Second_99,QBC,UDP,-5.345207065798072
Second_99,QBC,UDPLag,-36.231884057971016
Second_99,QBC,Syn,12.059404697853465
Third_99,KU_batch,Benign,8.863719722146433
Third_99,KU_batch,Portmap,85.08373681967765
Third_99,KU_batch,NetBIOS,179.96446303744355
Third_99,KU_batch,LDAP,-62.03496848510552
Third_99,KU_batch,MSSQL,-39.32281459312691
Third_99,KU_batch,UDP,23.471313958260616
Third_99,KU_batch,UDPLag,42.85714285714285
Third_99,KU_batch,Syn,-47.065424447090834
Third_99,KU_single,Benign,13.226135901016598
Third_99,KU_single,Portmap,48.82265817193889
Third_99,KU_single,NetBIOS,128.2468598517968
Third_99,KU_single,LDAP,-73.07135016338755
Third_99,KU_single,MSSQL,-29.103485005357392
Third_99,KU_single,UDP,-18.621343859309984
Third_99,KU_single,UDPLag,-100.0
Third_99,KU_single,Syn,-11.748274368311156
Third_99,Predictproba_batch,Benign,8.991103284023891
Third_99,Predictproba_batch,Portmap,111.85388590915895
Third_99,Predictproba_batch,NetBIOS,175.59213008709884
Third_99,Predictproba_batch,LDAP,-64.65899641152842
Third_99,Predictproba_batch,MSSQL,-52.601670121009704
Third_99,Predictproba_batch,UDP,26.276350511661267
Third_99,Predictproba_batch,UDPLag,-100.0
Third_99,Predictproba_batch,Syn,-55.406559354133535
Third_99,Predictproba_single,Benign,12.090094519902495
Third_99,Predictproba_single,Portmap,48.423047750059375
Third_99,Predictproba_single,NetBIOS,156.2873436014608
Third_99,Predictproba_single,LDAP,-72.75465981978357
Third_99,Predictproba_single,MSSQL,-30.12947820029496
Third_99,Predictproba_single,UDP,-19.799409055830647
Third_99,Predictproba_single,UDPLag,-100.0
Third_99,Predictproba_single,Syn,-8.395273110373777
Third_99,QBC,Benign,-3.4364963387370753
Third_99,QBC,Portmap,72.7387929692635
Third_99,QBC,NetBIOS,157.25124899385875
Third_99,QBC,LDAP,-73.53397576949484
Third_99,QBC,MSSQL,-43.01061152795456
Third_99,QBC,UDP,-15.306535610512439
Third_99,QBC,UDPLag,-14.285714285714288
Third_99,QBC,Syn,32.43252616419024
