Stage,Algorithm,Attack_Type,Percentage_Difference
First_95,KU_batch,Benign,21.73708588651823
First_95,KU_batch,Portmap,-66.90327058058733
First_95,KU_batch,NetBIOS,-68.40920600979122
First_95,KU_batch,LDAP,-46.01086108784193
First_95,KU_batch,MSSQL,-33.27784677360444
First_95,KU_batch,UDP,161.5101177891875
First_95,KU_batch,UDPLag,223.80952380952377
First_95,KU_batch,Syn,-81.38130113070552
First_95,KU_single,Benign,20.400896837956086
First_95,KU_single,Portmap,-11.763284811961347
First_95,KU_single,NetBIOS,4.569242023521474
First_95,KU_single,LDAP,-41.2918724785041
First_95,KU_single,MSSQL,45.93921873532384
First_95,KU_single,UDP,32.798895456702745
First_95,KU_single,UDPLag,-20.000000000000004
First_95,KU_single,Syn,-77.25050736786378
First_95,Predictproba_batch,Benign,26.425985189655265
First_95,Predictproba_batch,Portmap,-63.5856913197403
First_95,Predictproba_batch,NetBIOS,-74.90855888807607
First_95,Predictproba_batch,LDAP,-42.771310552009
First_95,Predictproba_batch,MSSQL,-31.22293073398805
First_95,Predictproba_batch,UDP,145.5140872416619
First_95,Predictproba_batch,UDPLag,100.0
First_95,Predictproba_batch,Syn,-90.87116007613669
First_95,Predictproba_single,Benign,19.56023162429102
First_95,Predictproba_single,Portmap,-16.23299043335409
First_95,Predictproba_single,NetBIOS,-8.767092453998098
First_95,Predictproba_single,LDAP,-42.940292902741284
First_95,Predictproba_single,MSSQL,40.29785324413736
First_95,Predictproba_single,UDP,44.333606592742846
First_95,Predictproba_single,UDPLag,-33.333333333333336
First_95,Predictproba_single,Syn,-74.5763951040577
First_95,QBC,Benign,5.966427959260305
First_95,QBC,Portmap,0.9865329034639109
First_95,QBC,NetBIOS,31.70896404254125
First_95,QBC,LDAP,-19.599545528948433
First_95,QBC,MSSQL,34.70032039574613
First_95,QBC,UDP,56.60094058765155
First_95,QBC,UDPLag,-42.85714285714286
First_95,QBC,Syn,-60.237233868223036
First_99,KU_batch,Benign,21.27951531908586
First_99,KU_batch,Portmap,-56.25309548037354
First_99,KU_batch,NetBIOS,-53.798242687131584
First_99,KU_batch,LDAP,-31.30510946047778
First_99,KU_batch,MSSQL,-11.779461857357889
First_99,KU_batch,UDP,89.32727517559827
First_99,KU_batch,UDPLag,104.76190476190477
First_99,KU_batch,Syn,-65.68059684574443
First_99,KU_single,Benign,14.438084506686675
First_99,KU_single,Portmap,-9.379643220560318
First_99,KU_single,NetBIOS,23.51240129017908
First_99,KU_single,LDAP,-48.5799986299091
First_99,KU_single,MSSQL,47.566211613107704
First_99,KU_single,UDP,18.862966035801698
First_99,KU_single,UDPLag,38.88888888888888
First_99,KU_single,Syn,-51.724226764286094
First_99,Predictproba_batch,Benign,19.12289672281728
First_99,Predictproba_batch,Portmap,-49.618636817981255
First_99,Predictproba_batch,NetBIOS,-55.91702813925038
First_99,Predictproba_batch,LDAP,-11.681003689459088
First_99,Predictproba_batch,MSSQL,-0.4885004356895495
First_99,Predictproba_batch,UDP,89.93975144757252
First_99,Predictproba_batch,UDPLag,345.83333333333337
First_99,Predictproba_batch,Syn,-78.85329774791717
First_99,Predictproba_single,Benign,14.0090648839904
First_99,Predictproba_single,Portmap,-12.428747669947473
First_99,Predictproba_single,NetBIOS,27.47191636080527
First_99,Predictproba_single,LDAP,-47.521114079641414
First_99,Predictproba_single,MSSQL,53.28773995933563
First_99,Predictproba_single,UDP,17.371738346661637
First_99,Predictproba_single,UDPLag,-16.666666666666668
First_99,Predictproba_single,Syn,-51.154379221689226
First_99,QBC,Benign,-0.9426279957200164
First_99,QBC,Portmap,-3.6920638636998153
First_99,QBC,NetBIOS,35.82471360249138
First_99,QBC,LDAP,-34.69804174862746
First_99,QBC,MSSQL,34.6967336484382
First_99,QBC,UDP,31.244543097044957
First_99,QBC,UDPLag,-28.571428571428577
First_99,QBC,Syn,-13.62018064064055
Second_99,KU_batch,Benign,17.741868978654622
Second_99,KU_batch,Portmap,-44.473701807556026
Second_99,KU_batch,NetBIOS,-34.35819111494787
Second_99,KU_batch,LDAP,-24.873089186587894
Second_99,KU_batch,MSSQL,10.193330132821302
Second_99,KU_batch,UDP,51.73511838634609
Second_99,KU_batch,UDPLag,215.68627450980392
Second_99,KU_batch,Syn,-57.519399752149624
Second_99,KU_single,Benign,13.703383799898806
Second_99,KU_single,Portmap,-15.198236973089982
Second_99,KU_single,NetBIOS,4.260561678685725
Second_99,KU_single,LDAP,-53.82545052467863
Second_99,KU_single,MSSQL,36.10006050678321
Second_99,KU_single,UDP,-1.7292198534377003
Second_99,KU_single,UDPLag,30.080213903743307
Second_99,KU_single,Syn,-25.616052948390518
Second_99,Predictproba_batch,Benign,13.341257004545923
Second_99,Predictproba_batch,Portmap,-37.12171151455478
Second_99,Predictproba_batch,NetBIOS,-40.67294747103966
Second_99,Predictproba_batch,LDAP,-18.599738637571598
Second_99,Predictproba_batch,MSSQL,16.071009306372975
Second_99,Predictproba_batch,UDP,69.25576979799548
Second_99,Predictproba_batch,UDPLag,89.8692810457516
Second_99,Predictproba_batch,Syn,-63.60848436298062
Second_99,Predictproba_single,Benign,11.992635533077294
Second_99,Predictproba_single,Portmap,-13.875810873021507
Second_99,Predictproba_single,NetBIOS,27.859724858135053
Second_99,Predictproba_single,LDAP,-52.56466579264808
Second_99,Predictproba_single,MSSQL,45.85329162480671
Second_99,Predictproba_single,UDP,0.230717732224922
Second_99,Predictproba_single,UDPLag,-58.82352941176471
Second_99,Predictproba_single,Syn,-28.363503876871203
Second_99,QBC,Benign,-2.3149597309453283
Second_99,QBC,Portmap,-8.841715957463322
Second_99,QBC,NetBIOS,21.325212148741603
Second_99,QBC,LDAP,-46.60082540440938
Second_99,QBC,MSSQL,21.231232158247888
Second_99,QBC,UDP,5.0348083465597
Second_99,QBC,UDPLag,40.37433155080211
Second_99,QBC,Syn,22.78209065813586
Third_99,KU_batch,Benign,15.594945410411054
Third_99,KU_batch,Portmap,-41.74977929849557
Third_99,KU_batch,NetBIOS,-12.368751469387812
Third_99,KU_batch,LDAP,-23.246574204845185
Third_99,KU_batch,MSSQL,19.029771642732367
Third_99,KU_batch,UDP,31.533414247215426
Third_99,KU_batch,UDPLag,192.27091822511667
Third_99,KU_batch,Syn,-45.21503031841335
Third_99,KU_single,Benign,15.115418443618184
Third_99,KU_single,Portmap,-23.48589584744093
Third_99,KU_single,NetBIOS,2.5722176147430207
Third_99,KU_single,LDAP,-58.47652448350627
Third_99,KU_single,MSSQL,20.985480135862954
Third_99,KU_single,UDP,-13.66582351269932
Third_99,KU_single,UDPLag,103.32330943017965
Third_99,KU_single,Syn,-7.7787111133427285
Third_99,Predictproba_batch,Benign,13.057069468918742
Third_99,Predictproba_batch,Portmap,-34.06686122089349
Third_99,Predictproba_batch,NetBIOS,-30.309724547978444
Third_99,Predictproba_batch,LDAP,-26.91121187686505
Third_99,Predictproba_batch,MSSQL,23.939851030614477
Third_99,Predictproba_batch,UDP,42.95676510416281
Third_99,Predictproba_batch,UDPLag,162.1019353843781
Third_99,Predictproba_batch,Syn,-47.93715923791512
Third_99,Predictproba_single,Benign,13.875059081253058
Third_99,Predictproba_single,Portmap,-22.93833668582993
Third_99,Predictproba_single,NetBIOS,15.034837968146533
Third_99,Predictproba_single,LDAP,-57.58505450677075
Third_99,Predictproba_single,MSSQL,27.814502357029497
Third_99,Predictproba_single,UDP,-13.375037106162226
Third_99,Predictproba_single,UDPLag,-22.27619708535739
Third_99,Predictproba_single,Syn,-8.365507323477475
Third_99,QBC,Benign,-1.9948690776124336
Third_99,QBC,Portmap,-15.468435504246884
Third_99,QBC,NetBIOS,7.9692629112999045
Third_99,QBC,LDAP,-54.58914408500329
Third_99,QBC,MSSQL,4.3547513932034505
Third_99,QBC,UDP,-12.665308431515657
Third_99,QBC,UDPLag,27.878906504860694
Third_99,QBC,Syn,48.96124649443284
