Stage,Algorithm,Attack_Type,Percentage_Difference
First_95,KU_batch,Benign,20.46151564864745
First_95,KU_batch,Portmap,-72.87151524460486
First_95,KU_batch,NetBIOS,-85.8428805237316
First_95,KU_batch,LDAP,-45.6060329623548
First_95,KU_batch,MSSQL,-46.347670805270035
First_95,KU_batch,UDP,213.66495637301793
First_95,KU_batch,UDPLag,
First_95,KU_batch,Syn,-85.99369961335215
First_95,KU_single,Benign,15.864953478902521
First_95,KU_single,Portmap,-5.804469702787781
First_95,KU_single,NetBIOS,7.105837424986396
First_95,KU_single,LDAP,-38.108921729611396
First_95,KU_single,MSSQL,10.78192887976491
First_95,KU_single,UDP,61.66043424065861
First_95,KU_single,UDPLag,
First_95,KU_single,Syn,-65.2630886512641
First_95,Predictproba_batch,Benign,18.613617159494517
First_95,Predictproba_batch,Portmap,-52.86076338222869
First_95,Predictproba_batch,NetBIOS,-42.06219312602291
First_95,Predictproba_batch,LDAP,-52.14376938514869
First_95,Predictproba_batch,MSSQL,-51.3196192297417
First_95,Predictproba_batch,UDP,189.8107081775227
First_95,Predictproba_batch,UDPLag,inf
First_95,Predictproba_batch,Syn,-74.57187337830827
First_95,Predictproba_single,Benign,17.803940582920085
First_95,Predictproba_single,Portmap,-12.386145457338104
First_95,Predictproba_single,NetBIOS,27.27768685215497
First_95,Predictproba_single,LDAP,-37.26205680228668
First_95,Predictproba_single,MSSQL,7.224511030807516
First_95,Predictproba_single,UDP,52.42919674174568
First_95,Predictproba_single,UDPLag,inf
First_95,Predictproba_single,Syn,-63.223868378929524
First_95,QBC,Benign,4.430625545766758
First_95,QBC,Portmap,13.843790799477768
First_95,QBC,NetBIOS,5.155482815057301
First_95,QBC,LDAP,-39.5654685884571
First_95,QBC,MSSQL,4.891801065819259
First_95,QBC,UDP,93.52552395860512
First_95,QBC,UDPLag,inf
First_95,QBC,Syn,-51.691675742049604
First_99,KU_batch,Benign,16.823255605366395
First_99,KU_batch,Portmap,-51.22691765585905
First_99,KU_batch,NetBIOS,-32.83500769212578
First_99,KU_batch,LDAP,-17.70858416930131
First_99,KU_batch,MSSQL,-11.210949689104396
First_99,KU_batch,UDP,105.09578515100095
First_99,KU_batch,UDPLag,
First_99,KU_batch,Syn,-73.67905160104685
First_99,KU_single,Benign,13.17786336136686
First_99,KU_single,Portmap,-6.646979487443061
First_99,KU_single,NetBIOS,41.81254013579622
First_99,KU_single,LDAP,-43.52904294076645
First_99,KU_single,MSSQL,18.61902363514028
First_99,KU_single,UDP,20.42117979073183
First_99,KU_single,UDPLag,
First_99,KU_single,Syn,-43.96537294572349
First_99,Predictproba_batch,Benign,19.96342048818727
First_99,Predictproba_batch,Portmap,-48.82568088944894
First_99,Predictproba_batch,NetBIOS,-24.411629693727868
First_99,Predictproba_batch,LDAP,-24.618850191855675
First_99,Predictproba_batch,MSSQL,-14.031571581736626
First_99,Predictproba_batch,UDP,83.89193761732503
First_99,Predictproba_batch,UDPLag,inf
First_99,Predictproba_batch,Syn,-68.13278503584502
First_99,Predictproba_single,Benign,14.489847838644494
First_99,Predictproba_single,Portmap,-14.822839975190849
First_99,Predictproba_single,NetBIOS,35.6567474526845
First_99,Predictproba_single,LDAP,-46.54076603995511
First_99,Predictproba_single,MSSQL,12.408061424819723
First_99,Predictproba_single,UDP,16.133055627888467
First_99,Predictproba_single,UDPLag,inf
First_99,Predictproba_single,Syn,-35.68118987401107
First_99,QBC,Benign,-0.4885583975261276
First_99,QBC,Portmap,10.077848945843094
First_99,QBC,NetBIOS,39.84518118791651
First_99,QBC,LDAP,-33.822156589447324
First_99,QBC,MSSQL,4.9752758539847886
First_99,QBC,UDP,36.743531632154394
First_99,QBC,UDPLag,inf
First_99,QBC,Syn,-14.436521601680466
Second_99,KU_batch,Benign,10.345297328982493
Second_99,KU_batch,Portmap,-33.707075526289756
Second_99,KU_batch,NetBIOS,-8.989843753882889
Second_99,KU_batch,LDAP,-16.21905596256841
Second_99,KU_batch,MSSQL,12.354504567938172
Second_99,KU_batch,UDP,65.32580912156634
Second_99,KU_batch,UDPLag,-100.0
Second_99,KU_batch,Syn,-55.99693410372245
Second_99,KU_single,Benign,11.951366453859158
Second_99,KU_single,Portmap,-12.015001430425313
Second_99,KU_single,NetBIOS,39.84972812354909
Second_99,KU_single,LDAP,-49.20277448163607
Second_99,KU_single,MSSQL,10.219854141052183
Second_99,KU_single,UDP,-0.22046019036413522
Second_99,KU_single,UDPLag,-100.0
Second_99,KU_single,Syn,-17.195074325269253
Second_99,Predictproba_batch,Benign,11.724404770125236
Second_99,Predictproba_batch,Portmap,-38.186096332286624
Second_99,Predictproba_batch,NetBIOS,-0.40844702019897305
Second_99,Predictproba_batch,LDAP,-12.427326199174628
Second_99,Predictproba_batch,MSSQL,4.915957632133154
Second_99,Predictproba_batch,UDP,54.96419195832942
Second_99,Predictproba_batch,UDPLag,260.0
Second_99,Predictproba_batch,Syn,-50.244017038987934
Second_99,Predictproba_single,Benign,12.225539960641116
Second_99,Predictproba_single,Portmap,-18.45930925193924
Second_99,Predictproba_single,NetBIOS,37.517342804073714
Second_99,Predictproba_single,LDAP,-51.19677918964112
Second_99,Predictproba_single,MSSQL,7.4498452815854
Second_99,Predictproba_single,UDP,-0.18695018092647583
Second_99,Predictproba_single,UDPLag,289.8412698412699
Second_99,Predictproba_single,Syn,-12.294625588243546
Second_99,QBC,Benign,-3.196864300557731
Second_99,QBC,Portmap,-0.3365146009146408
Second_99,QBC,NetBIOS,45.7021560089581
Second_99,QBC,LDAP,-43.05303649690494
Second_99,QBC,MSSQL,-1.2880676898900636
Second_99,QBC,UDP,10.620040438050768
Second_99,QBC,UDPLag,192.12121212121215
Second_99,QBC,Syn,24.096272547438698
Third_99,KU_batch,Benign,9.865042154577472
Third_99,KU_batch,Portmap,-33.014878950218325
Third_99,KU_batch,NetBIOS,11.530448101022442
Third_99,KU_batch,LDAP,-19.170478001014285
Third_99,KU_batch,MSSQL,12.708082184740263
Third_99,KU_batch,UDP,38.97977968930969
Third_99,KU_batch,UDPLag,-100.0
Third_99,KU_batch,Syn,-37.819178465137846
Third_99,KU_single,Benign,13.161261549109598
Third_99,KU_single,Portmap,-21.186937954482676
Third_99,KU_single,NetBIOS,27.544191383289895
Third_99,KU_single,LDAP,-56.225367550478424
Third_99,KU_single,MSSQL,5.801660217103871
Third_99,KU_single,UDP,-9.874788249260943
Third_99,KU_single,UDPLag,-100.0
Third_99,KU_single,Syn,-1.9635566036017804
Third_99,Predictproba_batch,Benign,10.666338495486903
Third_99,Predictproba_batch,Portmap,-38.448659933762094
Third_99,Predictproba_batch,NetBIOS,5.1278278234124075
Third_99,Predictproba_batch,LDAP,-17.64292616641406
Third_99,Predictproba_batch,MSSQL,9.976058385431735
Third_99,Predictproba_batch,UDP,40.409312718757704
Third_99,Predictproba_batch,UDPLag,337.1794871794872
Third_99,Predictproba_batch,Syn,-37.58940396217732
Third_99,Predictproba_single,Benign,13.63345554957553
