Stage,Algorithm,Attack_Type,Percentage_Difference
First_95,KU_batch,Benign,55.021682567215976
First_95,KU_batch,Portmap,-31.884957583281597
First_95,KU_batch,NetBIOS,-73.04347826086956
First_95,KU_batch,LDAP,-43.799699118848054
First_95,KU_batch,MSSQL,-51.66193757600326
First_95,KU_batch,UDP,-73.68828354743847
First_95,KU_batch,UDPLag,
First_95,KU_batch,Syn,-46.825805123983955
First_95,KU_single,Benign,34.098872506504826
First_95,KU_single,Portmap,-14.814814814814806
First_95,KU_single,NetBIOS,12.521739130434796
First_95,KU_single,LDAP,-51.8375241779497
First_95,KU_single,MSSQL,-49.310903931901095
First_95,KU_single,UDP,-34.51478099365425
First_95,KU_single,UDPLag,
First_95,KU_single,Syn,-21.710052474534432
First_95,Predictproba_batch,Benign,52.65915004336518
First_95,Predictproba_batch,Portmap,-39.62342230498655
First_95,Predictproba_batch,NetBIOS,9.043478260869566
First_95,Predictproba_batch,LDAP,-43.21942832581131
First_95,Predictproba_batch,MSSQL,-44.12241588974464
First_95,Predictproba_batch,UDP,-69.89630088221638
First_95,Predictproba_batch,UDPLag,inf
First_95,Predictproba_batch,Syn,-48.37946290770655
First_95,Predictproba_single,Benign,27.739809193408522
First_95,Predictproba_single,Portmap,6.06248706807366
First_95,Predictproba_single,NetBIOS,20.347826086956506
First_95,Predictproba_single,LDAP,-49.83881366860091
First_95,Predictproba_single,MSSQL,-35.853263072557766
First_95,Predictproba_single,UDP,-21.002940721250596
First_95,Predictproba_single,UDPLag,inf
First_95,Predictproba_single,Syn,-32.009465994443865
First_95,QBC,Benign,21.193408499566363
First_95,QBC,Portmap,-5.814194082350512
First_95,QBC,NetBIOS,-28.34782608695653
First_95,QBC,LDAP,-53.38491295938104
First_95,QBC,MSSQL,-35.204702067288224
First_95,QBC,UDP,-43.50719702832381
First_95,QBC,UDPLag,inf
First_95,QBC,Syn,13.910896182734852
First_99,KU_batch,Benign,47.32255694342399
First_99,KU_batch,Portmap,-32.913885545464474
First_99,KU_batch,NetBIOS,-54.128440366972484
First_99,KU_batch,LDAP,-44.674825857691566
First_99,KU_batch,MSSQL,-46.74850799344444
First_99,KU_batch,UDP,-64.57039396786834
First_99,KU_batch,UDPLag,
First_99,KU_batch,Syn,-37.064767027695
First_99,KU_single,Benign,29.476855253490115
First_99,KU_single,Portmap,-21.895174526753458
First_99,KU_single,NetBIOS,20.655307994757543
First_99,KU_single,LDAP,-47.58153766030858
First_99,KU_single,MSSQL,-43.31302761371717
First_99,KU_single,UDP,-24.238535053743707
First_99,KU_single,UDPLag,inf
First_99,KU_single,Syn,-20.51319328341937
First_99,Predictproba_batch,Benign,40.618662747979464
First_99,Predictproba_batch,Portmap,-30.492942335047584
First_99,Predictproba_batch,NetBIOS,1.9397116644822976
