Stage,Algorithm,Attack_Type,Percentage_Difference
First_95,KU_batch,Benign,28.683199175827408
First_95,KU_batch,Portmap,183.0009283862087
First_95,KU_batch,NetBIOS,264.0129449838188
First_95,KU_batch,LDAP,-19.318415109833722
First_95,KU_batch,MSSQL,-67.2244567174931
First_95,KU_batch,UDP,-87.44130463648105
First_95,KU_batch,UDPLag,
First_95,KU_batch,Syn,-92.89776913329207
First_95,KU_single,Benign,17.28649729034283
First_95,KU_single,Portmap,142.1951531837244
First_95,KU_single,NetBIOS,294.4595469255665
First_95,KU_single,LDAP,-38.99688896609448
First_95,KU_single,MSSQL,6.750510265337964
First_95,KU_single,UDP,-73.90606327631785
First_95,KU_single,UDPLag,inf
First_95,KU_single,Syn,-75.97545162526154
First_95,Predictproba_batch,Benign,26.664783476669406
First_95,Predictproba_batch,Portmap,185.770080353427
First_95,Predictproba_batch,NetBIOS,252.95792880258892
First_95,Predictproba_batch,LDAP,-27.143376024509262
First_95,Predictproba_batch,MSSQL,-57.99465722175532
First_95,Predictproba_batch,UDP,-86.3669833299132
First_95,Predictproba_batch,UDPLag,
First_95,Predictproba_batch,Syn,-88.81472313087554
First_95,Predictproba_single,Benign,17.215521600110105
First_95,Predictproba_single,Portmap,140.3559880910459
First_95,Predictproba_single,NetBIOS,265.1521035598705
First_95,Predictproba_single,LDAP,-38.42047913080556
First_95,Predictproba_single,MSSQL,20.94188978268697
First_95,Predictproba_single,UDP,-77.23404512149487
First_95,Predictproba_single,UDPLag,
First_95,Predictproba_single,Syn,-78.3418795862435
First_95,QBC,Benign,4.108993973000734
First_95,QBC,Portmap,217.90344783429902
First_95,QBC,NetBIOS,266.3430420711974
First_95,QBC,LDAP,-22.28889976785687
First_95,QBC,MSSQL,4.209689038299893
First_95,QBC,UDP,-84.48631749212366
First_95,QBC,UDPLag,inf
First_95,QBC,Syn,-68.55273627442313
First_99,KU_batch,Benign,19.306677319891495
First_99,KU_batch,Portmap,142.5342535081665
First_99,KU_batch,NetBIOS,221.40380760012667
First_99,KU_batch,LDAP,8.417007429494044
First_99,KU_batch,MSSQL,-36.2245010943261
First_99,KU_batch,UDP,-77.68916813952751
First_99,KU_batch,UDPLag,
First_99,KU_batch,Syn,-83.23203125905565
First_99,KU_single,Benign,13.307030196011201
First_99,KU_single,Portmap,94.34598573729009
First_99,KU_single,NetBIOS,236.05764157911403
First_99,KU_single,LDAP,-45.01709185886625
First_99,KU_single,MSSQL,18.259098777233636
First_99,KU_single,UDP,-67.86724827743602
First_99,KU_single,UDPLag,inf
First_99,KU_single,Syn,-49.206307358137494
First_99,Predictproba_batch,Benign,17.34739721586476
First_99,Predictproba_batch,Portmap,143.72224522659303
First_99,Predictproba_batch,NetBIOS,215.73875883691832
First_99,Predictproba_batch,LDAP,3.6402533268905635
First_99,Predictproba_batch,MSSQL,-30.118235200761777
First_99,Predictproba_batch,UDP,-76.94807233106908
First_99,Predictproba_batch,UDPLag,
First_99,Predictproba_batch,Syn,-78.49283059503709
First_99,Predictproba_single,Benign,12.405030062606738
First_99,Predictproba_single,Portmap,98.93029675638374
First_99,Predictproba_single,NetBIOS,218.87671274174338
First_99,Predictproba_single,LDAP,-43.34270521983864
First_99,Predictproba_single,MSSQL,29.793997261416656
First_99,Predictproba_single,UDP,-67.24809278986307
First_99,Predictproba_single,UDPLag,inf
First_99,Predictproba_single,Syn,-54.42515779418379
First_99,QBC,Benign,-0.8394865509013546
First_99,QBC,Portmap,141.52210720036805
First_99,QBC,NetBIOS,225.5822191405014
First_99,QBC,LDAP,-36.166014705832424
First_99,QBC,MSSQL,11.150777100718644
First_99,QBC,UDP,-73.97560159563822
First_99,QBC,UDPLag,inf
First_99,QBC,Syn,-24.06626367055258
Second_99,KU_batch,Benign,11.563897949929967
Second_99,KU_batch,Portmap,136.58889706125544
Second_99,KU_batch,NetBIOS,224.13159739557935
Second_99,KU_batch,LDAP,11.28838539140546
Second_99,KU_batch,MSSQL,-10.984557441610113
Second_99,KU_batch,UDP,-66.15332475676973
Second_99,KU_batch,UDPLag,-12.499999999999996
Second_99,KU_batch,Syn,-77.00668064201733
Second_99,KU_single,Benign,11.1217921640771
Second_99,KU_single,Portmap,72.31630824308607
Second_99,KU_single,NetBIOS,235.6640238209521
Second_99,KU_single,LDAP,-52.21949383953327
Second_99,KU_single,MSSQL,8.246156819064394
Second_99,KU_single,UDP,-66.0769623457767
Second_99,KU_single,UDPLag,-11.406250000000004
Second_99,KU_single,Syn,-24.080082063643538
Second_99,Predictproba_batch,Benign,10.645853635833074
Second_99,Predictproba_batch,Portmap,122.93171870787378
Second_99,Predictproba_batch,NetBIOS,211.50688469983163
Second_99,Predictproba_batch,LDAP,2.279554247215513
Second_99,Predictproba_batch,MSSQL,-10.428894434825715
Second_99,Predictproba_batch,UDP,-71.93694222516196
Second_99,Predictproba_batch,UDPLag,-100.0
Second_99,Predictproba_batch,Syn,-58.8005707087217
Second_99,Predictproba_single,Benign,10.793924735504538
Second_99,Predictproba_single,Portmap,69.78280818201996
Second_99,Predictproba_single,NetBIOS,234.5726050054071
Second_99,Predictproba_single,LDAP,-50.77248615322638
Second_99,Predictproba_single,MSSQL,15.273387590493922
Second_99,Predictproba_single,UDP,-65.39239565511629
Second_99,Predictproba_single,UDPLag,-28.4090909090909
Second_99,Predictproba_single,Syn,-26.389522619153933
Second_99,QBC,Benign,-4.364571807870705
Second_99,QBC,Portmap,104.23146194411099
Second_99,QBC,NetBIOS,207.28517481142495
Second_99,QBC,LDAP,-43.705542204818215
Second_99,QBC,MSSQL,-2.429702412697101
Second_99,QBC,UDP,-73.09104853433197
Second_99,QBC,UDPLag,-11.406250000000004
Second_99,QBC,Syn,17.98529287449451
Third_99,KU_batch,Benign,11.155509374022515
Third_99,KU_batch,Portmap,103.631578749907
Third_99,KU_batch,NetBIOS,189.89216002897493
Third_99,KU_batch,LDAP,-3.750852356340273
Third_99,KU_batch,MSSQL,-0.7121467892917983
Third_99,KU_batch,UDP,-56.08845364657205
Third_99,KU_batch,UDPLag,-12.698412698412707
Third_99,KU_batch,Syn,-61.30212244964702
Third_99,KU_single,Benign,13.654428328973673
Third_99,KU_single,Portmap,44.057104141527
Third_99,KU_single,NetBIOS,178.73377481974615
Third_99,KU_single,LDAP,-59.60504844368474
Third_99,KU_single,MSSQL,-3.579450809094146
Third_99,KU_single,UDP,-68.63893756047834
Third_99,KU_single,UDPLag,-16.056166056166052
Third_99,KU_single,Syn,-2.8696899695789755
Third_99,Predictproba_batch,Benign,10.249791725319838
Third_99,Predictproba_batch,Portmap,85.65467102115794
Third_99,Predictproba_batch,NetBIOS,172.62044337806665
Third_99,Predictproba_batch,LDAP,-9.237362885347569
Third_99,Predictproba_batch,MSSQL,-6.611050792910207
Third_99,Predictproba_batch,UDP,-69.36723450445349
Third_99,Predictproba_batch,UDPLag,-19.413919413919427
Third_99,Predictproba_batch,Syn,-34.23031752919841
Third_99,Predictproba_single,Benign,12.882019338278297
Third_99,Predictproba_single,Portmap,40.121426111812404
Third_99,Predictproba_single,NetBIOS,172.84548569718666
Third_99,Predictproba_single,LDAP,-60.26145087478275
Third_99,Predictproba_single,MSSQL,-5.2386144000376085
Third_99,Predictproba_single,UDP,-69.5752450717919
Third_99,Predictproba_single,UDPLag,-25.53688141923437
Third_99,Predictproba_single,Syn,3.6959002529209237
Third_99,QBC,Benign,-3.303025329508004
Third_99,QBC,Portmap,64.8822813887862
Third_99,QBC,NetBIOS,162.34027948901917
Third_99,QBC,LDAP,-55.040959248919066
Third_99,QBC,MSSQL,-18.99755074005743
Third_99,QBC,UDP,-75.39085137229004
Third_99,QBC,UDPLag,-16.056166056166052
Third_99,QBC,Syn,51.633913293422125
