Accuracy,Learning tasks over the time,Seed,Algorithm
0.9964801126363957,Portmap,0,CRF - w/ Continual + Active Learning
0.9065065117916227,LDAP,0,CRF - w/ Continual + Active Learning
0.9293857762967805,MSSQL,0,CRF - w/ Continual + Active Learning
0.941466725851767,UDP,0,CRF - w/ Continual + Active Learning
0.952128673184766,UDPLag,0,CRF - w/ Continual + Active Learning
0.9586050703849006,Syn,0,CRF - w/ Continual + Active Learning
0.9971840901091165,Portmap,1,CRF - w/ Continual + Active Learning
0.9678028863076382,LDAP,1,CRF - w/ Continual + Active Learning
0.8739044257178881,MSSQL,1,CRF - w/ Continual + Active Learning
0.8938713496463597,UDP,1,CRF - w/ Continual + Active Learning
0.9193464379798628,UDPLag,1,CRF - w/ Continual + Active Learning
0.9332990392239675,Syn,1,CRF - w/ Continual + Active Learning
0.9961281239000352,Portmap,2,CRF - w/ Continual + Active Learning
0.9381226680746216,LDAP,2,CRF - w/ Continual + Active Learning
0.9469581173283195,MSSQL,2,CRF - w/ Continual + Active Learning
0.9513164364301024,UDP,2,CRF - w/ Continual + Active Learning
0.8459134443475088,UDPLag,2,CRF - w/ Continual + Active Learning
0.9666880086122629,Syn,2,CRF - w/ Continual + Active Learning
0.9971840901091165,Portmap,3,CRF - w/ Continual + Active Learning
0.9173074621612108,LDAP,3,CRF - w/ Continual + Active Learning
0.9062209962435644,MSSQL,3,CRF - w/ Continual + Active Learning
0.9429163130063271,UDP,3,CRF - w/ Continual + Active Learning
0.950902021973293,UDPLag,3,CRF - w/ Continual + Active Learning
0.9537042078826291,Syn,3,CRF - w/ Continual + Active Learning
0.9975360788454769,Portmap,4,CRF - w/ Continual + Active Learning
0.9182235128475889,LDAP,4,CRF - w/ Continual + Active Learning
0.9276772229704869,MSSQL,4,CRF - w/ Continual + Active Learning
0.9349213546896405,UDP,4,CRF - w/ Continual + Active Learning
0.9444859005260244,UDPLag,4,CRF - w/ Continual + Active Learning
0.9568718533109329,Syn,4,CRF - w/ Continual + Active Learning
0.9985920450545582,Portmap,0,ARF - w/o Continual + Active Learning
0.6661666666666667,LDAP,0,ARF - w/o Continual + Active Learning
0.5551580202742993,MSSQL,0,ARF - w/o Continual + Active Learning
0.5587146804643744,UDP,0,ARF - w/o Continual + Active Learning
0.5979554944259998,UDPLag,0,ARF - w/o Continual + Active Learning
0.66401552839142,Syn,0,ARF - w/o Continual + Active Learning
0.9978880675818373,Portmap,1,ARF - w/o Continual + Active Learning
0.6666666666666666,LDAP,1,ARF - w/o Continual + Active Learning
0.5552456768038163,MSSQL,1,ARF - w/o Continual + Active Learning
0.5432941378287155,UDP,1,ARF - w/o Continual + Active Learning
0.5981067980838425,UDPLag,1,ARF - w/o Continual + Active Learning
0.6645179412588261,Syn,1,ARF - w/o Continual + Active Learning
0.9992960225272791,Portmap,2,ARF - w/o Continual + Active Learning
0.6665,LDAP,2,ARF - w/o Continual + Active Learning
0.554824686940966,MSSQL,2,ARF - w/o Continual + Active Learning
0.5486820969489073,UDP,2,ARF - w/o Continual + Active Learning
0.5988460468764054,UDPLag,2,ARF - w/o Continual + Active Learning
0.6636268164792081,Syn,2,ARF - w/o Continual + Active Learning
0.9985920450545582,Portmap,3,ARF - w/o Continual + Active Learning
0.6659813445969729,LDAP,3,ARF - w/o Continual + Active Learning
0.5547604849930431,MSSQL,3,ARF - w/o Continual + Active Learning
0.5267492265656281,UDP,3,ARF - w/o Continual + Active Learning
0.5989035877218029,UDPLag,3,ARF - w/o Continual + Active Learning
0.66288999513088,Syn,3,ARF - w/o Continual + Active Learning
0.9989440337909187,Portmap,4,ARF - w/o Continual + Active Learning
0.6663333333333333,LDAP,4,ARF - w/o Continual + Active Learning
0.5551580202742993,MSSQL,4,ARF - w/o Continual + Active Learning
0.5227565172485613,UDP,4,ARF - w/o Continual + Active Learning
0.5987641132426488,UDPLag,4,ARF - w/o Continual + Active Learning
0.6684751099194214,Syn,4,ARF - w/o Continual + Active Learning
