#Queries %,Learning tasks over the time,Seed,Algorithm
0.22105405,Portmap,0,CRF - w/ Continual + Active Learning
0.50680685,LDAP,0,CRF - w/ Continual + Active Learning
0.7413398,MSSQL,0,CRF - w/ Continual + Active Learning
0.93408815,UDP,0,CRF - w/ Continual + Active Learning
1.02304893,UDPLag,0,CRF - w/ Continual + Active Learning
1.16727322,Syn,0,CRF - w/ Continual + Active Learning
0.1994878,Portmap,1,CRF - w/ Continual + Active Learning
0.31945006,LDAP,1,CRF - w/ Continual + Active Learning
0.60520286,MSSQL,1,CRF - w/ Continual + Active Learning
0.7130341,UDP,1,CRF - w/ Continual + Active Learning
0.93408815,UDPLag,1,CRF - w/ Continual + Active Learning
1.02035315,Syn,1,CRF - w/ Continual + Active Learning
0.22374983,Portmap,2,CRF - w/ Continual + Active Learning
0.43132498,LDAP,2,CRF - w/ Continual + Active Learning
0.70359887,MSSQL,2,CRF - w/ Continual + Active Learning
0.91791347,UDP,2,CRF - w/ Continual + Active Learning
0.94756706,UDPLag,2,CRF - w/ Continual + Active Learning
1.12009705,Syn,2,CRF - w/ Continual + Active Learning
0.20218358,Portmap,3,CRF - w/ Continual + Active Learning
0.43536865,LDAP,3,CRF - w/ Continual + Active Learning
0.69685942,MSSQL,3,CRF - w/ Continual + Active Learning
0.86669362,UDP,3,CRF - w/ Continual + Active Learning
0.99069956,UDPLag,3,CRF - w/ Continual + Active Learning
1.09583502,Syn,3,CRF - w/ Continual + Active Learning
0.23048928,Portmap,4,CRF - w/ Continual + Active Learning
0.47310958,LDAP,4,CRF - w/ Continual + Active Learning
0.69685942,MSSQL,4,CRF - w/ Continual + Active Learning
0.91117401,UDP,4,CRF - w/ Continual + Active Learning
1.12144494,UDPLag,4,CRF - w/ Continual + Active Learning
1.1834479,Syn,4,CRF - w/ Continual + Active Learning
